node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,Contract,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,91,637,"{""_layers"": [""stage1_ast""], ""ast_id"": 2024, ""src"": ""2624:22645:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""DappIncubator""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.contractAddressRecord,StateVar,contractAddressRecord,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,115,115,"{""_layers"": [""stage1_ast""], ""ast_id"": 161, ""src"": ""3304:46:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""internal""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.walletAddressRecord,StateVar,walletAddressRecord,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,116,116,"{""_layers"": [""stage1_ast""], ""ast_id"": 165, ""src"": ""3356:44:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""internal""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.magnitude,StateVar,magnitude,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,118,118,"{""_layers"": [""stage1_ast""], ""ast_id"": 168, ""src"": ""3411:30:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.dividendFee,StateVar,dividendFee,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,119,119,"{""_layers"": [""stage1_ast""], ""ast_id"": 171, ""src"": ""3448:30:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.balanceLedger,StateVar,balanceLedger,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,124,124,"{""_layers"": [""stage1_ast""], ""ast_id"": 178, ""src"": ""3586:68:0"", ""type"": ""mapping(address => mapping(address => struct DappIncubator.BalanceLedger))"", ""visibility"": ""internal""}"
statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenLedger,StateVar,tokenLedger,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,,125,125,"{""_layers"": [""stage1_ast""], ""ast_id"": 182, ""src"": ""3660:43:0"", ""type"": ""mapping(address => struct DappIncubator.TokenLedger)"", ""visibility"": ""internal""}"
function:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard,Function,tokenOnboard,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,141,156,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 307, ""src"": ""4663:679:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""DappIncubator""}"
stmt:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1,Stmt,stmt_1,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,143,154,"{""_layers"": [""stage1_ast""], ""ast_id"": 305, ""src"": ""4810:515:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.1,Assignment,assign_1_1,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,145,145,"{""_layers"": [""stage1_ast""], ""ast_id"": 266, ""src"": ""4885:45:0"", ""operator"": ""="", ""type"": ""bool""}"
assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.2,Assignment,assign_1_2,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,146,146,"{""_layers"": [""stage1_ast""], ""ast_id"": 273, ""src"": ""4944:56:0"", ""operator"": ""="", ""type"": ""uint256""}"
assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.3,Assignment,assign_1_3,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,147,147,"{""_layers"": [""stage1_ast""], ""ast_id"": 280, ""src"": ""5014:60:0"", ""operator"": ""="", ""type"": ""uint256""}"
assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.4,Assignment,assign_1_4,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,148,148,"{""_layers"": [""stage1_ast""], ""ast_id"": 287, ""src"": ""5088:39:0"", ""operator"": ""="", ""type"": ""uint256""}"
assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.5,Assignment,assign_1_5,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,149,149,"{""_layers"": [""stage1_ast""], ""ast_id"": 294, ""src"": ""5141:41:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.1,FunctionCall,onTokenOnboard,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.sol,0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,tokenOnboard,151,151,"{""_layers"": [""stage1_ast""], ""ast_id"": 300, ""src"": ""5214:61:0""}"
