src,relation,dst,extra_json
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.maintoken,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.owner,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.user,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.usertoken,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.userether,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.dividends1token,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.dividendstart,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.users,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.admins,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasStateVar,statevar:0x0e94278497e51629c78697dac758fded6c8f188f.tokenReward,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasFunction,function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,hasModifier,modifier:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,containsStmt,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,entryPointIs,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,containsCall,call:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,containsStmt,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,hasNext,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0e94278497e51629c78697dac758fded6c8f188f,hasFunction,function:0x0e94278497e51629c78697dac758fded6c8f188f.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.constructor,hasModifier,modifier:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.constructor,containsStmt,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.constructor,entryPointIs,stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,containsAssignment,assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,containsCall,call:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
