node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x0e94278497e51629c78697dac758fded6c8f188f,Contract,0x0e94278497e51629c78697dac758fded6c8f188f,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,7,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 166, ""src"": ""125:1408:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Dividends""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.maintoken,StateVar,maintoken,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""150:70:0"", ""type"": ""address"", ""visibility"": ""private""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.owner,StateVar,owner,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""226:34:0"", ""type"": ""address"", ""visibility"": ""private""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.user,StateVar,user,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""266:20:0"", ""type"": ""address"", ""visibility"": ""private""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.usertoken,StateVar,usertoken,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""292:25:0"", ""type"": ""uint256"", ""visibility"": ""private""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.userether,StateVar,userether,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""323:25:0"", ""type"": ""uint256"", ""visibility"": ""private""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.dividends1token,StateVar,dividends1token,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""354:46:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.dividendstart,StateVar,dividendstart,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""406:41:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.users,StateVar,users,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""453:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.admins,StateVar,admins,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""500:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x0e94278497e51629c78697dac758fded6c8f188f.tokenReward,StateVar,tokenReward,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""548:24:0"", ""type"": ""contract token"", ""visibility"": ""public""}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends,Function,Dividends,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,19,22,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 55, ""src"": ""583:107:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Dividends""}"
modifier:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,Modifier,modifier_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,19,22,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1,Stmt,stmt_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""621:30:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1.1,Assignment,assign_1_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""621:30:0"", ""operator"": ""="", ""type"": ""contract token""}"
call:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.1.1,FunctionCall,token,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""635:16:0""}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2,Stmt,stmt_2,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 53, ""src"": ""661:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.Dividends.2.1,Assignment,assign_2_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,Dividends,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""661:22:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.constructor,Function,constructor,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,24,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 126, ""src"": ""696:557:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,Modifier,modifier_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,24,42,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1,Stmt,stmt_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,26,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 124, ""src"": ""743:504:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.1,Assignment,assign_1_1,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 67, ""src"": ""799:17:0"", ""operator"": ""="", ""type"": ""address""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.2,Assignment,assign_1_2,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 74, ""src"": ""843:39:0"", ""operator"": ""="", ""type"": ""uint256""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.3,Assignment,assign_1_3,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,34,34,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""1016:51:0"", ""operator"": ""="", ""type"": ""uint256""}"
assign:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.4,Assignment,assign_1_4,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,37,37,"{""_layers"": [""stage1_ast""], ""ast_id"": 111, ""src"": ""1144:15:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.1,FunctionCall,balanceOf,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 73, ""src"": ""855:27:0""}"
call:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.2,FunctionCall,transfer,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""1085:24:0""}"
call:0x0e94278497e51629c78697dac758fded6c8f188f.constructor.1.3,FunctionCall,transfer,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,constructor,39,39,"{""_layers"": [""stage1_ast""], ""ast_id"": 119, ""src"": ""1198:24:0""}"
function:0x0e94278497e51629c78697dac758fded6c8f188f.admin,Function,admin,0x0e94278497e51629c78697dac758fded6c8f188f.sol,0x0e94278497e51629c78697dac758fded6c8f188f,admin,44,48,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 147, ""src"": ""1263:139:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Dividends""}"
