src,relation,dst,extra_json
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.tokenReward,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.price,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.creator,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.owner,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.startDate,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.endDate,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.bonusDate,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.tokenCap,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.whitelist,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.whitelistedMax,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.categorie1,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.categorie2,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.tokenAddress,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.balanceOfEther,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasStateVar,statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.balanceOf,"{""_layers"": [""stage1_ast""]}"
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,hasFunction,function:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale,"{""_layers"": [""stage1_ast""]}"
function:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale,hasModifier,modifier:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale.1,"{""_layers"": [""stage1_ast""]}"
function:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale,containsStmt,stmt:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale.1,"{""_layers"": [""stage1_ast""]}"
function:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale,entryPointIs,stmt:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale.1,containsAssignment,assign:0x12db622c98d75f6f19493d9acbc7479fe382ec44.TBECrowdsale.1.1,"{""_layers"": [""stage1_ast""]}"
