node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x12db622c98d75f6f19493d9acbc7479fe382ec44,Contract,0x12db622c98d75f6f19493d9acbc7479fe382ec44,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,54,165,"{""_layers"": [""stage1_ast""], ""ast_id"": 496, ""src"": ""1229:3286:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""TBECrowdsale""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.tokenReward,StateVar,tokenReward,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 103, ""src"": ""1262:24:0"", ""type"": ""contract Token"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.price,StateVar,price,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""1292:20:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.creator,StateVar,creator,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,58,58,"{""_layers"": [""stage1_ast""], ""ast_id"": 107, ""src"": ""1318:22:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.owner,StateVar,owner,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,59,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""1346:65:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.startDate,StateVar,startDate,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""1417:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.endDate,StateVar,endDate,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 114, ""src"": ""1447:22:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.bonusDate,StateVar,bonusDate,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 116, ""src"": ""1475:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.tokenCap,StateVar,tokenCap,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 118, ""src"": ""1505:23:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x12db622c98d75f6f19493d9acbc7479fe382ec44.whitelist,StateVar,whitelist,0x12db622c98d75f6f19493d9acbc7479fe382ec44.sol,0x12db622c98d75f6f19493d9acbc7479fe382ec44,,65,65,"{""_layers"": [""stage1_ast""], ""ast_id"": 122, ""src"": ""1535:42:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
