src,relation,dst,extra_json
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,hasStateVar,statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.allowance,"{""_layers"": [""stage1_ast""]}"
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,hasStateVar,statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.contributionInWei,"{""_layers"": [""stage1_ast""]}"
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,hasStateVar,statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c._tokenAddress,"{""_layers"": [""stage1_ast""]}"
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,hasStateVar,statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c._wallet,"{""_layers"": [""stage1_ast""]}"
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,hasFunction,function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,hasModifier,modifier:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,containsStmt,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,entryPointIs,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,containsAssignment,assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,containsRequire,require:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,containsStmt,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,hasNext,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2,containsRequire,require:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,containsStmt,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2,hasNext,stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3,containsCall,call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3,containsCall,call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3.2,"{""_layers"": [""stage1_ast""]}"
