node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,Contract,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,,75,110,"{""_layers"": [""stage1_ast""], ""ast_id"": 243, ""src"": ""1983:1144:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Primacorp""}"
statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.allowance,StateVar,allowance,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,,77,77,"{""_layers"": [""stage1_ast""], ""ast_id"": 121, ""src"": ""2020:45:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.contributionInWei,StateVar,contributionInWei,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,,78,78,"{""_layers"": [""stage1_ast""], ""ast_id"": 123, ""src"": ""2071:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c._tokenAddress,StateVar,_tokenAddress,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,,79,79,"{""_layers"": [""stage1_ast""], ""ast_id"": 126, ""src"": ""2109:66:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c._wallet,StateVar,_wallet,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,,80,80,"{""_layers"": [""stage1_ast""], ""ast_id"": 129, ""src"": ""2181:60:0"", ""type"": ""address"", ""visibility"": ""internal""}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor,Function,constructor,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,82,84,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 139, ""src"": ""2248:102:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Primacorp""}"
modifier:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,Modifier,modifier_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,82,84,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1,Stmt,stmt_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,83,83,"{""_layers"": [""stage1_ast""], ""ast_id"": 137, ""src"": ""2305:38:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1.1,Assignment,assign_1_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,83,83,"{""_layers"": [""stage1_ast""], ""ast_id"": 136, ""src"": ""2305:38:0"", ""operator"": ""="", ""type"": ""uint256""}"
require:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.1.1,Require,require,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,87,87,"{""_layers"": [""stage1_ast""], ""ast_id"": 149, ""src"": ""2392:34:0""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2,Stmt,stmt_2,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,88,88,"{""_layers"": [""stage1_ast""], ""ast_id"": 157, ""src"": ""2436:39:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.2.1,Require,require,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,88,88,"{""_layers"": [""stage1_ast""], ""ast_id"": 156, ""src"": ""2436:39:0""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3,Stmt,stmt_3,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,89,89,"{""_layers"": [""stage1_ast""], ""ast_id"": 169, ""src"": ""2485:64:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3.1,FunctionCall,transfer,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,89,89,"{""_layers"": [""stage1_ast""], ""ast_id"": 168, ""src"": ""2485:64:0""}"
call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.3.2,FunctionCall,ERC20,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,89,89,"{""_layers"": [""stage1_ast""], ""ast_id"": 160, ""src"": ""2485:20:0""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.4,Stmt,stmt_4,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 176, ""src"": ""2559:25:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.4.1,Assignment,assign_4_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 175, ""src"": ""2559:25:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.5,Stmt,stmt_5,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,91,91,"{""_layers"": [""stage1_ast""], ""ast_id"": 183, ""src"": ""2594:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.constructor.5.1,FunctionCall,transfer,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,constructor,91,91,"{""_layers"": [""stage1_ast""], ""ast_id"": 182, ""src"": ""2594:27:0""}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.withdraw,Function,withdraw,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,withdraw,94,96,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 202, ""src"": ""2634:119:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Primacorp""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.withdraw.1,Stmt,stmt_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,withdraw,95,95,"{""_layers"": [""stage1_ast""], ""ast_id"": 200, ""src"": ""2697:49:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.withdraw.1.1,FunctionCall,transfer,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,withdraw,95,95,"{""_layers"": [""stage1_ast""], ""ast_id"": 199, ""src"": ""2697:49:0""}"
call:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.withdraw.1.2,FunctionCall,ERC20,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,withdraw,95,95,"{""_layers"": [""stage1_ast""], ""ast_id"": 194, ""src"": ""2697:20:0""}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.changeAllowance,Function,changeAllowance,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,changeAllowance,98,100,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 218, ""src"": ""2759:121:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Primacorp""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.changeAllowance.1,Stmt,stmt_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,changeAllowance,99,99,"{""_layers"": [""stage1_ast""], ""ast_id"": 216, ""src"": ""2846:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.changeAllowance.1.1,Assignment,assign_1_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,changeAllowance,99,99,"{""_layers"": [""stage1_ast""], ""ast_id"": 215, ""src"": ""2846:27:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setWalletAddress,Function,setWalletAddress,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setWalletAddress,102,104,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 230, ""src"": ""2886:114:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Primacorp""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setWalletAddress.1,Stmt,stmt_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setWalletAddress,103,103,"{""_layers"": [""stage1_ast""], ""ast_id"": 228, ""src"": ""2967:26:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setWalletAddress.1.1,Assignment,assign_1_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setWalletAddress,103,103,"{""_layers"": [""stage1_ast""], ""ast_id"": 227, ""src"": ""2967:26:0"", ""operator"": ""="", ""type"": ""address""}"
function:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setContributionInWei,Function,setContributionInWei,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setContributionInWei,106,108,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 242, ""src"": ""3006:118:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Primacorp""}"
stmt:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setContributionInWei.1,Stmt,stmt_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setContributionInWei,107,107,"{""_layers"": [""stage1_ast""], ""ast_id"": 240, ""src"": ""3086:31:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.setContributionInWei.1.1,Assignment,assign_1_1,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c,setContributionInWei,107,107,"{""_layers"": [""stage1_ast""], ""ast_id"": 239, ""src"": ""3086:31:0"", ""operator"": ""="", ""type"": ""uint256""}"
internalcall:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.transferOwnership.1.1,InternalCall,Ownable._transferOwnership,0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.sol,Ownable,transferOwnership,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""target"": ""Ownable._transferOwnership"", ""evidence_ref"": ""raw_ir:0x1b6df88f60b6b7c2b7f9b6beec4a6b3841a10d6c.transferOwnership.1""}"
