src,relation,dst,extra_json
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,hasStateVar,statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.maxBalance,"{""_layers"": [""stage1_ast""]}"
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,hasStateVar,statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.ADDRESS_EIFP2_CONTRACT,"{""_layers"": [""stage1_ast""]}"
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,hasStateVar,statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.ADDRESS_ADMIN,"{""_layers"": [""stage1_ast""]}"
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,hasStateVar,statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.isResend,"{""_layers"": [""stage1_ast""]}"
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,hasFunction,function:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor,hasModifier,modifier:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor,containsStmt,stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor,entryPointIs,stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsAssignment,assign:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsAssignment,assign:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsCall,call:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsCall,call:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsCall,call:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsCall,call:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,containsCall,call:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.5,"{""_layers"": [""stage1_ast""]}"
