node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x20c476bb4c7aa64f919278fb9c09e880583beb4c,Contract,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,,10,38,"{""_layers"": [""stage1_ast""], ""ast_id"": 79, ""src"": ""202:1279:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""X3ProfitMainFundTransfer""}"
statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.maxBalance,StateVar,maxBalance,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 4, ""src"": ""418:77:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.ADDRESS_EIFP2_CONTRACT,StateVar,ADDRESS_EIFP2_CONTRACT,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""512:91:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.ADDRESS_ADMIN,StateVar,ADDRESS_ADMIN,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""609:91:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.isResend,StateVar,isResend,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""704:29:0"", ""type"": ""bool"", ""visibility"": ""private""}"
function:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor,Function,constructor,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,constructor,21,37,"{""_layers"": [""stage1_ast""], ""ast_id"": 78, ""src"": ""823:656:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,Modifier,modifier_1,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,constructor,21,37,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1,Stmt,stmt_1,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,constructor,22,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 76, ""src"": ""862:614:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.1,Assignment,assign_1_1,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,constructor,32,32,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""1295:47:0"", ""operator"": ""="", ""type"": ""bool""}"
assign:0x20c476bb4c7aa64f919278fb9c09e880583beb4c.constructor.1.2,Assignment,assign_1_2,0x20c476bb4c7aa64f919278fb9c09e880583beb4c.sol,0x20c476bb4c7aa64f919278fb9c09e880583beb4c,constructor,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 73, ""src"": ""1449:16:0"", ""operator"": ""="", ""type"": ""bool""}"
