src,relation,dst,extra_json
contract:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,hasStateVar,statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.participants,"{""_layers"": [""stage1_ast""]}"
contract:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,hasStateVar,statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.referrers,"{""_layers"": [""stage1_ast""]}"
contract:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,hasStateVar,statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.processing,"{""_layers"": [""stage1_ast""]}"
contract:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,hasFunction,function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor,hasModifier,modifier:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor,containsStmt,stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor,entryPointIs,stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,containsAssignment,assign:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,containsCall,call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,containsCall,call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,containsCall,call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,containsRequire,require:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
