node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,Contract,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,,34,93,"{""_layers"": [""stage1_ast""], ""ast_id"": 238, ""src"": ""1085:2090:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""EasySmartolution""}"
statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.participants,StateVar,participants,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,,40,40,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""1272:48:0"", ""type"": ""mapping(address => address)"", ""visibility"": ""public""}"
statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.referrers,StateVar,referrers,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""1327:42:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
statevar:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.processing,StateVar,processing,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""1380:26:0"", ""type"": ""address"", ""visibility"": ""private""}"
function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor,Function,constructor,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,45,47,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 35, ""src"": ""1414:81:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EasySmartolution""}"
modifier:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,Modifier,modifier_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,45,47,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1,Stmt,stmt_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,46,46,"{""_layers"": [""stage1_ast""], ""ast_id"": 33, ""src"": ""1464:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,Assignment,assign_1_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,46,46,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""1464:24:0"", ""operator"": ""="", ""type"": ""address""}"
call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,FunctionCall,call,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""1576:10:0""}"
call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.2,FunctionCall,addParticipant,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,51,51,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""1602:38:0""}"
call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.3,FunctionCall,call,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,51,51,"{""_layers"": [""stage1_ast""], ""ast_id"": 51, ""src"": ""1629:10:0""}"
require:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.1,Require,require,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,53,53,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""1671:67:0""}"
call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.constructor.1.4,FunctionCall,processPayment,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,constructor,55,55,"{""_layers"": [""stage1_ast""], ""ast_id"": 66, ""src"": ""1753:26:0""}"
function:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant,Function,addParticipant,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,59,72,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 155, ""src"": ""1806:651:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EasySmartolution""}"
modifier:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.1,Modifier,modifier_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,59,72,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.1,Stmt,stmt_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 88, ""src"": ""1892:87:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.1.1,Require,require,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 87, ""src"": ""1892:87:0""}"
call:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.1.1,FunctionCall,call,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 84, ""src"": ""1926:10:0""}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.2,Stmt,stmt_2,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 101, ""src"": ""1989:122:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.2.1,Require,require,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 100, ""src"": ""1989:122:0""}"
stmt:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.3,Stmt,stmt_3,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 116, ""src"": ""2130:75:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.addParticipant.3.1,Assignment,assign_3_1,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e.sol,0x2628e13a3cbdc52ed96b4b8d6b1041d3ef3a409e,addParticipant,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""2130:75:0"", ""operator"": ""="", ""type"": ""address""}"
