src,relation,dst,extra_json
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.blockedBalances,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.walletBalances,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.userIds,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.dispatcher,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.serviceReward,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.sentBonuses,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasStateVar,statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.gameToken,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasFunction,function:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor,hasModifier,modifier:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor,containsStmt,stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor,entryPointIs,stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,containsAssignment,assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,containsCall,call:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,hasFunction,function:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress,"{""_layers"": [""stage1_ast""]}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress,containsStmt,stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1,"{""_layers"": [""stage1_ast""]}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress,entryPointIs,stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1,containsAssignment,assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1.1,"{""_layers"": [""stage1_ast""]}"
