node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x37e343f2cc245754595f1ae3656b460c35d636fb,Contract,0x37e343f2cc245754595f1ae3656b460c35d636fb,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,67,240,"{""_layers"": [""stage1_ast""], ""ast_id"": 778, ""src"": ""2176:5333:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""BalanceManager""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.balances,StateVar,balances,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,69,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 205, ""src"": ""2248:41:0"", ""type"": ""mapping(uint32 => uint64)"", ""visibility"": ""public""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.blockedBalances,StateVar,blockedBalances,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,71,71,"{""_layers"": [""stage1_ast""], ""ast_id"": 209, ""src"": ""2336:48:0"", ""type"": ""mapping(uint32 => uint64)"", ""visibility"": ""public""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.walletBalances,StateVar,walletBalances,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,73,73,"{""_layers"": [""stage1_ast""], ""ast_id"": 213, ""src"": ""2418:48:0"", ""type"": ""mapping(address => uint64)"", ""visibility"": ""public""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.userIds,StateVar,userIds,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,75,75,"{""_layers"": [""stage1_ast""], ""ast_id"": 217, ""src"": ""2497:41:0"", ""type"": ""mapping(address => uint32)"", ""visibility"": ""public""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.dispatcher,StateVar,dispatcher,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,78,78,"{""_layers"": [""stage1_ast""], ""ast_id"": 219, ""src"": ""2585:25:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.serviceReward,StateVar,serviceReward,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,80,80,"{""_layers"": [""stage1_ast""], ""ast_id"": 221, ""src"": ""2669:18:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.sentBonuses,StateVar,sentBonuses,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,82,82,"{""_layers"": [""stage1_ast""], ""ast_id"": 223, ""src"": ""2746:16:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x37e343f2cc245754595f1ae3656b460c35d636fb.gameToken,StateVar,gameToken,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,,84,84,"{""_layers"": [""stage1_ast""], ""ast_id"": 225, ""src"": ""2798:23:0"", ""type"": ""contract ERC223"", ""visibility"": ""public""}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor,Function,constructor,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,constructor,92,94,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 260, ""src"": ""3009:100:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BalanceManager""}"
modifier:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,Modifier,modifier_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,constructor,92,94,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1,Stmt,stmt_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,constructor,93,93,"{""_layers"": [""stage1_ast""], ""ast_id"": 258, ""src"": ""3065:37:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1.1,Assignment,assign_1_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,constructor,93,93,"{""_layers"": [""stage1_ast""], ""ast_id"": 257, ""src"": ""3065:37:0"", ""operator"": ""="", ""type"": ""contract ERC223""}"
call:0x37e343f2cc245754595f1ae3656b460c35d636fb.constructor.1.1,FunctionCall,ERC223,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,constructor,93,93,"{""_layers"": [""stage1_ast""], ""ast_id"": 256, ""src"": ""3077:25:0""}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress,Function,setDispatcherAddress,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,setDispatcherAddress,96,98,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 272, ""src"": ""3115:131:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BalanceManager""}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1,Stmt,stmt_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,setDispatcherAddress,97,97,"{""_layers"": [""stage1_ast""], ""ast_id"": 270, ""src"": ""3205:34:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.setDispatcherAddress.1.1,Assignment,assign_1_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,setDispatcherAddress,97,97,"{""_layers"": [""stage1_ast""], ""ast_id"": 269, ""src"": ""3205:34:0"", ""operator"": ""="", ""type"": ""address""}"
function:0x37e343f2cc245754595f1ae3656b460c35d636fb.tokenFallback,Function,tokenFallback,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,tokenFallback,103,111,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 315, ""src"": ""3294:301:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BalanceManager""}"
modifier:0x37e343f2cc245754595f1ae3656b460c35d636fb.tokenFallback.1,Modifier,modifier_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,tokenFallback,103,111,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x37e343f2cc245754595f1ae3656b460c35d636fb.tokenFallback.1,Stmt,stmt_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,tokenFallback,104,108,"{""_layers"": [""stage1_ast""], ""ast_id"": 306, ""src"": ""3379:163:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.tokenFallback.1.1,Assignment,assign_1_1,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,tokenFallback,105,105,"{""_layers"": [""stage1_ast""], ""ast_id"": 294, ""src"": ""3417:43:0"", ""operator"": ""+="", ""type"": ""uint64""}"
assign:0x37e343f2cc245754595f1ae3656b460c35d636fb.tokenFallback.1.2,Assignment,assign_1_2,0x37e343f2cc245754595f1ae3656b460c35d636fb.sol,0x37e343f2cc245754595f1ae3656b460c35d636fb,tokenFallback,107,107,"{""_layers"": [""stage1_ast""], ""ast_id"": 303, ""src"": ""3491:40:0"", ""operator"": ""+="", ""type"": ""uint64""}"
