src,relation,dst,extra_json
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittenContract,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.dropNumber,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittensDroppedToTheWorld,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittensRemainingToDrop,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.holderAmount,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.basicReward,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.holderReward,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.donatorReward,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.donatorRewardLevels,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.totalDropTransactions,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasStateVar,statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.participants,"{""_layers"": [""stage1_ast""]}"
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,hasFunction,function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,hasModifier,modifier:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,entryPointIs,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,hasNext,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,containsAssignment,assign:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,containsCall,call:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,hasNext,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3,containsAssignment,assign:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3,hasNext,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.4,containsAssignment,assign:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.4.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.4,hasNext,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.5,containsAssignment,assign:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.5.1,"{""_layers"": [""stage1_ast""]}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,containsStmt,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.6,"{""_layers"": [""stage1_ast""]}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.5,hasNext,stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.6,"{""_layers"": [""stage1_ast""]}"
