node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x3f513977cd827428e0459fdef7217cd6272dc893,Contract,0x3f513977cd827428e0459fdef7217cd6272dc893,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,38,158,"{""_layers"": [""stage1_ast""], ""ast_id"": 468, ""src"": ""867:4980:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""KittenSelfDrop2""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittenContract,StateVar,kittenContract,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,39,39,"{""_layers"": [""stage1_ast""], ""ast_id"": 93, ""src"": ""909:32:0"", ""type"": ""contract KittenCoin"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.dropNumber,StateVar,dropNumber,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,40,40,"{""_layers"": [""stage1_ast""], ""ast_id"": 95, ""src"": ""947:23:0"", ""type"": ""uint8"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittensDroppedToTheWorld,StateVar,kittensDroppedToTheWorld,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 97, ""src"": ""976:39:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.kittensRemainingToDrop,StateVar,kittensRemainingToDrop,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""1021:37:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.holderAmount,StateVar,holderAmount,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 101, ""src"": ""1064:27:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.basicReward,StateVar,basicReward,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 103, ""src"": ""1097:26:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.holderReward,StateVar,holderReward,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,45,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""1129:27:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.donatorReward,StateVar,donatorReward,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,46,46,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""1162:42:0"", ""type"": ""mapping(uint8 => uint256[])"", ""visibility"": ""internal""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.donatorRewardLevels,StateVar,donatorRewardLevels,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,47,47,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""1210:25:0"", ""type"": ""uint8"", ""visibility"": ""internal""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.totalDropTransactions,StateVar,totalDropTransactions,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,48,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 114, ""src"": ""1241:34:0"", ""type"": ""uint8"", ""visibility"": ""public""}"
statevar:0x3f513977cd827428e0459fdef7217cd6272dc893.participants,StateVar,participants,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,,49,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 118, ""src"": ""1281:39:0"", ""type"": ""mapping(address => uint8)"", ""visibility"": ""internal""}"
function:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2,Function,KittenSelfDrop2,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,53,68,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 188, ""src"": ""1387:922:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""KittenSelfDrop2""}"
modifier:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,Modifier,modifier_1,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,53,68,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.1,Stmt,stmt_1,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 124, ""src"": ""1425:54:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2,Stmt,stmt_2,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 130, ""src"": ""1526:30:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2.1,Assignment,assign_2_1,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 129, ""src"": ""1526:30:0"", ""operator"": ""="", ""type"": ""contract KittenCoin""}"
call:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.2.1,FunctionCall,KittenCoin,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 128, ""src"": ""1543:13:0""}"
stmt:0x3f513977cd827428e0459fdef7217cd6272dc893.KittenSelfDrop2.3,Stmt,stmt_3,0x3f513977cd827428e0459fdef7217cd6272dc893.sol,0x3f513977cd827428e0459fdef7217cd6272dc893,KittenSelfDrop2,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 134, ""src"": ""1567:14:0"", ""stmt_kind"": ""ExpressionStatement""}"
