src,relation,dst,extra_json
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.ethPossibleRefunds,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.soldTokens,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.name,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.symbol,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.decimals,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.whitelist,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.teamTimeLock,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.devTimeLock,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.countryTimeLock,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.miscNotLocked,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.stateControl,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.whitelistControl,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.withdrawControl,"{""_layers"": [""stage1_ast""]}"
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,hasStateVar,statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.tokenAssignmentControl,"{""_layers"": [""stage1_ast""]}"
