node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,Contract,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,199,581,"{""_layers"": [""stage1_ast""], ""ast_id"": 1496, ""src"": ""6373:11347:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""CrwdToken""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.ethPossibleRefunds,StateVar,ethPossibleRefunds,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,211,211,"{""_layers"": [""stage1_ast""], ""ast_id"": 533, ""src"": ""6750:53:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.soldTokens,StateVar,soldTokens,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,213,213,"{""_layers"": [""stage1_ast""], ""ast_id"": 535, ""src"": ""6810:25:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.name,StateVar,name,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,215,215,"{""_layers"": [""stage1_ast""], ""ast_id"": 538, ""src"": ""6842:41:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.symbol,StateVar,symbol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,217,217,"{""_layers"": [""stage1_ast""], ""ast_id"": 541, ""src"": ""6890:38:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.decimals,StateVar,decimals,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,219,219,"{""_layers"": [""stage1_ast""], ""ast_id"": 544, ""src"": ""6935:35:0"", ""type"": ""uint8"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.whitelist,StateVar,whitelist,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,221,221,"{""_layers"": [""stage1_ast""], ""ast_id"": 548, ""src"": ""6977:41:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.teamTimeLock,StateVar,teamTimeLock,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,223,223,"{""_layers"": [""stage1_ast""], ""ast_id"": 550, ""src"": ""7025:27:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.devTimeLock,StateVar,devTimeLock,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,224,224,"{""_layers"": [""stage1_ast""], ""ast_id"": 552, ""src"": ""7058:26:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.countryTimeLock,StateVar,countryTimeLock,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a.sol,0x40da24a66f729d0bd0453681c5a6506bdc2a7a6a,,225,225,"{""_layers"": [""stage1_ast""], ""ast_id"": 554, ""src"": ""7090:30:0"", ""type"": ""address"", ""visibility"": ""public""}"
