src,relation,dst,extra_json
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasStateVar,statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.Owner,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasStateVar,statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.emails,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasStateVar,statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.adr,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasStateVar,statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.Limit,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasFunction,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,hasModifier,modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,entryPointIs,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,containsRequire,require:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,hasNext,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2,containsAssignment,assign:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2,hasNext,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.3,containsAssignment,assign:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasFunction,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,hasModifier,modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner.1,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasFunction,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor,hasModifier,modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor,entryPointIs,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor.1,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasFunction,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill,hasModifier,modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill,entryPointIs,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1,containsRequire,require:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.1,hasNext,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.2,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.kill.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,hasFunction,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal,hasModifier,modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal,entryPointIs,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1,containsAssignment,assign:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal,containsStmt,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.1,hasNext,stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2,containsCall,call:0x42db5bfe8828f12f164586af8a992b3a7b038164.withdrawal.2.4,"{""_layers"": [""stage1_ast""]}"
cfgentry:0x42db5bfe8828f12f164586af8a992b3a7b038164.0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,entryOf,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
cfgexit:0x42db5bfe8828f12f164586af8a992b3a7b038164.0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,exitOf,function:0x42db5bfe8828f12f164586af8a992b3a7b038164.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
