node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x42db5bfe8828f12f164586af8a992b3a7b038164,Contract,0x42db5bfe8828f12f164586af8a992b3a7b038164,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,,3,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 97, ""src"": ""26:909:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""firstTest""}"
statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.Owner,StateVar,Owner,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 4, ""src"": ""51:58:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.emails,StateVar,emails,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""115:59:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.adr,StateVar,adr,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""180:11:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x42db5bfe8828f12f164586af8a992b3a7b038164.Limit,StateVar,Limit,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""197:41:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set,Function,Set,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,Set,10,15,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 35, ""src"": ""249:167:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""firstTest""}"
modifier:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,Modifier,modifier_1,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,Set,10,15,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1,Stmt,stmt_1,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,Set,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""310:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.1.1,Require,require,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,Set,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""310:28:0""}"
stmt:0x42db5bfe8828f12f164586af8a992b3a7b038164.Set.2,Stmt,stmt_2,0x42db5bfe8828f12f164586af8a992b3a7b038164.sol,0x42db5bfe8828f12f164586af8a992b3a7b038164,Set,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""369:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
