src,relation,dst,extra_json
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.Paused,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.claimRate,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.ethRaised,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.unClaimedEther,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimingTimeLimit,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.isCharged,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasStateVar,statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.Investors,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1,containsRequire,require:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4.1,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,hasModifier,modifier:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.2,"{""_layers"": [""stage1_ast""]}"
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,hasFunction,function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,entryPointIs,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.1,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2,containsRequire,require:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsAssignment,assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsRequire,require:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsRequire,require:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,containsCall,call:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3.6,"{""_layers"": [""stage1_ast""]}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,containsStmt,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,hasNext,stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.4,"{""_layers"": [""stage1_ast""]}"
