node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x4470887011bbf1e196b62020266aa5ae1081bd70,Contract,0x4470887011bbf1e196b62020266aa5ae1081bd70,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,27,92,"{""_layers"": [""stage1_ast""], ""ast_id"": 318, ""src"": ""819:2053:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Deposit""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.Paused,StateVar,Paused,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 88, ""src"": ""855:18:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.claimRate,StateVar,claimRate,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 117, ""src"": ""1140:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.ethRaised,StateVar,ethRaised,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 119, ""src"": ""1170:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.unClaimedEther,StateVar,unClaimedEther,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 121, ""src"": ""1200:29:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimingTimeLimit,StateVar,ClaimingTimeLimit,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 123, ""src"": ""1235:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.isCharged,StateVar,isCharged,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,45,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 126, ""src"": ""1273:28:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:0x4470887011bbf1e196b62020266aa5ae1081bd70.Investors,StateVar,Investors,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,,47,47,"{""_layers"": [""stage1_ast""], ""ast_id"": 130, ""src"": ""1308:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause,Function,setPause,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setPause,30,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 100, ""src"": ""879:84:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setPause,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 98, ""src"": ""939:17:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.setPause.1.1,Assignment,assign_1_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setPause,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 97, ""src"": ""939:17:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge,Function,setCharge,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setCharge,49,51,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 142, ""src"": ""1359:92:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setCharge,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 140, ""src"": ""1422:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.setCharge.1.1,Assignment,assign_1_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,setCharge,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 139, ""src"": ""1422:22:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate,Function,SetClaimRate,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,SetClaimRate,53,57,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 167, ""src"": ""1457:224:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,SetClaimRate,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 152, ""src"": ""1522:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.1.1,Assignment,assign_1_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,SetClaimRate,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 151, ""src"": ""1522:18:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2,Stmt,stmt_2,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,SetClaimRate,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 165, ""src"": ""1620:54:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.SetClaimRate.2.1,Assignment,assign_2_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,SetClaimRate,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 164, ""src"": ""1620:54:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor,Function,constructor,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,60,65,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 200, ""src"": ""1713:222:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 178, ""src"": ""1757:44:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.1.1,Require,require,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 177, ""src"": ""1757:44:0""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2,Stmt,stmt_2,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 186, ""src"": ""1811:34:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.2.1,Assignment,assign_2_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 185, ""src"": ""1811:34:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3,Stmt,stmt_3,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 191, ""src"": ""1855:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.3.1,Assignment,assign_3_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 190, ""src"": ""1855:27:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4,Stmt,stmt_4,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 198, ""src"": ""1892:36:0"", ""stmt_kind"": ""EmitStatement""}"
call:0x4470887011bbf1e196b62020266aa5ae1081bd70.constructor.4.1,FunctionCall,eDeposit,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,constructor,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 197, ""src"": ""1897:31:0""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst,Function,getClaimEst,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,getClaimEst,67,70,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 218, ""src"": ""1941:167:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
modifier:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,Modifier,modifier_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,getClaimEst,67,70,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,getClaimEst,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 214, ""src"": ""2032:45:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.getClaimEst.2,Stmt,stmt_2,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,getClaimEst,69,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 216, ""src"": ""2087:14:0"", ""stmt_kind"": ""Return""}"
function:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU,Function,ClaimMTU,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,ClaimMTU,73,90,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 317, ""src"": ""2145:724:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MoatFund""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.1,Stmt,stmt_1,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,ClaimMTU,74,74,"{""_layers"": [""stage1_ast""], ""ast_id"": 231, ""src"": ""2199:38:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2,Stmt,stmt_2,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,ClaimMTU,75,75,"{""_layers"": [""stage1_ast""], ""ast_id"": 237, ""src"": ""2247:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.2.1,Require,require,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,ClaimMTU,75,75,"{""_layers"": [""stage1_ast""], ""ast_id"": 236, ""src"": ""2247:28:0""}"
stmt:0x4470887011bbf1e196b62020266aa5ae1081bd70.ClaimMTU.3,Stmt,stmt_3,0x4470887011bbf1e196b62020266aa5ae1081bd70.sol,0x4470887011bbf1e196b62020266aa5ae1081bd70,ClaimMTU,76,87,"{""_layers"": [""stage1_ast""], ""ast_id"": 304, ""src"": ""2285:503:0"", ""stmt_kind"": ""IfStatement""}"
