src,relation,dst,extra_json
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.eth_sent,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_available,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_withdrawn,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.price_per_eth,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.token,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.seller,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasStateVar,statevar:0x44f2f79343ac7244c09e0189df05588524a86515.halt_purchases,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasFunction,function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,hasModifier,modifier:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,entryPointIs,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,hasNext,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,containsCall,call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,containsCall,call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,containsCall,call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.3,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasFunction,function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,hasModifier,modifier:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,entryPointIs,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,hasNext,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2,containsAssignment,assign:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasFunction,function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,hasModifier,modifier:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,entryPointIs,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,hasNext,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2,containsAssignment,assign:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasFunction,function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,hasModifier,modifier:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,entryPointIs,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,hasNext,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.2,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.2,hasNext,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3,containsAssignment,assign:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0x44f2f79343ac7244c09e0189df05588524a86515,hasFunction,function:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice,hasModifier,modifier:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.1,"{""_layers"": [""stage1_ast""]}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice,containsStmt,stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.1,"{""_layers"": [""stage1_ast""]}"
