node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x44f2f79343ac7244c09e0189df05588524a86515,Contract,0x44f2f79343ac7244c09e0189df05588524a86515,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,34,210,"{""_layers"": [""stage1_ast""], ""ast_id"": 360, ""src"": ""1192:6103:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""IOU""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.iou_purchased,StateVar,iou_purchased,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""1260:49:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.eth_sent,StateVar,eth_sent,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,39,39,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""1362:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_available,StateVar,total_iou_available,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""1445:57:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_purchased,StateVar,total_iou_purchased,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,45,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""1547:34:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.total_iou_withdrawn,StateVar,total_iou_withdrawn,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,48,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""1656:34:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.price_per_eth,StateVar,price_per_eth,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,51,51,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""1720:35:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.token,StateVar,token,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""1808:70:0"", ""type"": ""contract ERC20"", ""visibility"": ""public""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.seller,StateVar,seller,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""1970:59:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x44f2f79343ac7244c09e0189df05588524a86515.halt_purchases,StateVar,halt_purchases,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""2082:26:0"", ""type"": ""bool"", ""visibility"": ""public""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens,Function,withdrawTokens,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,66,69,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 71, ""src"": ""2254:173:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,Modifier,modifier_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,66,69,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.1,Stmt,stmt_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,67,67,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""2286:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2,Stmt,stmt_2,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 69, ""src"": ""2322:100:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.1,FunctionCall,transfer,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""2322:100:0""}"
call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.2,FunctionCall,balanceOf,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""2345:30:0""}"
call:0x44f2f79343ac7244c09e0189df05588524a86515.withdrawTokens.2.3,FunctionCall,call,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,withdrawTokens,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""2361:13:0""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases,Function,haltPurchases,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,haltPurchases,75,78,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 85, ""src"": ""2580:93:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,Modifier,modifier_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,haltPurchases,75,78,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.1,Stmt,stmt_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,haltPurchases,76,76,"{""_layers"": [""stage1_ast""], ""ast_id"": 79, ""src"": ""2611:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2,Stmt,stmt_2,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,haltPurchases,77,77,"{""_layers"": [""stage1_ast""], ""ast_id"": 83, ""src"": ""2647:21:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x44f2f79343ac7244c09e0189df05588524a86515.haltPurchases.2.1,Assignment,assign_2_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,haltPurchases,77,77,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""2647:21:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases,Function,resumePurchases,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,resumePurchases,80,83,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 99, ""src"": ""2677:96:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,Modifier,modifier_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,resumePurchases,80,83,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.1,Stmt,stmt_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,resumePurchases,81,81,"{""_layers"": [""stage1_ast""], ""ast_id"": 93, ""src"": ""2710:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2,Stmt,stmt_2,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,resumePurchases,82,82,"{""_layers"": [""stage1_ast""], ""ast_id"": 97, ""src"": ""2746:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x44f2f79343ac7244c09e0189df05588524a86515.resumePurchases.2.1,Assignment,assign_2_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,resumePurchases,82,82,"{""_layers"": [""stage1_ast""], ""ast_id"": 96, ""src"": ""2746:22:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability,Function,updateAvailability,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,88,93,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 120, ""src"": ""2824:179:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,Modifier,modifier_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,88,93,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.1,Stmt,stmt_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,89,89,"{""_layers"": [""stage1_ast""], ""ast_id"": 109, ""src"": ""2879:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.2,Stmt,stmt_2,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 114, ""src"": ""2915:43:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3,Stmt,stmt_3,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,92,92,"{""_layers"": [""stage1_ast""], ""ast_id"": 118, ""src"": ""2965:33:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x44f2f79343ac7244c09e0189df05588524a86515.updateAvailability.3.1,Assignment,assign_3_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updateAvailability,92,92,"{""_layers"": [""stage1_ast""], ""ast_id"": 117, ""src"": ""2965:33:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice,Function,updatePrice,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updatePrice,98,101,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 136, ""src"": ""3038:106:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.1,Modifier,modifier_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updatePrice,98,101,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.1,Stmt,stmt_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updatePrice,99,99,"{""_layers"": [""stage1_ast""], ""ast_id"": 130, ""src"": ""3081:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.2,Stmt,stmt_2,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updatePrice,100,100,"{""_layers"": [""stage1_ast""], ""ast_id"": 134, ""src"": ""3117:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x44f2f79343ac7244c09e0189df05588524a86515.updatePrice.2.1,Assignment,assign_2_1,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,updatePrice,100,100,"{""_layers"": [""stage1_ast""], ""ast_id"": 133, ""src"": ""3117:22:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x44f2f79343ac7244c09e0189df05588524a86515.paySeller,Function,paySeller,0x44f2f79343ac7244c09e0189df05588524a86515.sol,0x44f2f79343ac7244c09e0189df05588524a86515,paySeller,112,123,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 170, ""src"": ""3549:401:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
