src,relation,dst,extra_json
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasStateVar,statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasStateVar,statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasStateVar,statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasFunction,function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal,hasModifier,modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal,containsStmt,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal,entryPointIs,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasFunction,function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank,hasModifier,modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank,containsStmt,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank,entryPointIs,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,containsAssignment,assign:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,containsCall,call:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasFunction,function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit,hasModifier,modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit,containsStmt,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit,entryPointIs,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1,containsAssignment,assign:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1,containsCall,call:0x463f235748bc7862deaa04d85b4b16ac8fafef39.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasFunction,function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut,hasModifier,modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut,containsStmt,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut,entryPointIs,stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,containsAssignment,assign:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,containsCall,call:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,containsCall,call:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1,containsCall,call:0x463f235748bc7862deaa04d85b4b16ac8fafef39.CashOut.1.3,"{""_layers"": [""stage1_ast""]}"
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,hasFunction,function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.constructor,hasModifier,modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,readsStateVar,statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1""}"
stateread:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1.1,targetsStateVar,statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1""}"
