node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x463f235748bc7862deaa04d85b4b16ac8fafef39,Contract,0x463f235748bc7862deaa04d85b4b16ac8fafef39,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,,3,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""26:908:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""PrivateBank""}"
statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.balances,StateVar,balances,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""53:34:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.MinDeposit,StateVar,MinDeposit,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""205:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x463f235748bc7862deaa04d85b4b16ac8fafef39.TransferLog,StateVar,TransferLog,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""248:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal,Function,GetBal,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,GetBal,7,12,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 16, ""src"": ""98:97:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PrivateBank""}"
modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,Modifier,modifier_1,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,GetBal,7,12,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.GetBal.1,Stmt,stmt_1,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,GetBal,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""161:27:0"", ""stmt_kind"": ""Return""}"
function:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank,Function,PrivateBank,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,PrivateBank,18,21,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 33, ""src"": ""274:79:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PrivateBank""}"
modifier:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,Modifier,modifier_1,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,PrivateBank,18,21,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x463f235748bc7862deaa04d85b4b16ac8fafef39.PrivateBank.1,Stmt,stmt_1,0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol,0x463f235748bc7862deaa04d85b4b16ac8fafef39,PrivateBank,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""323:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
