src,relation,dst,extra_json
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.eth_sent,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.total_iou_available,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.total_iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.token,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.seller,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasStateVar,statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.halt_purchases,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasFunction,function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,hasModifier,modifier:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,containsStmt,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,entryPointIs,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,containsStmt,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,hasNext,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,containsCall,call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,containsCall,call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,containsCall,call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.3,"{""_layers"": [""stage1_ast""]}"
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,hasFunction,function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,hasModifier,modifier:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,containsStmt,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,entryPointIs,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,containsStmt,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,hasNext,stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.2,"{""_layers"": [""stage1_ast""]}"
