node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,Contract,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,35,170,"{""_layers"": [""stage1_ast""], ""ast_id"": 292, ""src"": ""1207:5027:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""IOU""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.iou_purchased,StateVar,iou_purchased,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,37,37,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""1275:49:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.eth_sent,StateVar,eth_sent,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,40,40,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""1377:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.total_iou_available,StateVar,total_iou_available,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""1460:60:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.total_iou_purchased,StateVar,total_iou_purchased,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,46,46,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""1565:34:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.token,StateVar,token,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,49,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""1652:70:0"", ""type"": ""contract ERC20"", ""visibility"": ""public""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.seller,StateVar,seller,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""1814:59:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.halt_purchases,StateVar,halt_purchases,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,,55,55,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""1926:26:0"", ""type"": ""bool"", ""visibility"": ""public""}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens,Function,withdrawTokens,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,62,65,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 61, ""src"": ""2229:127:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,Modifier,modifier_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,62,65,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.1,Stmt,stmt_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""2261:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2,Stmt,stmt_2,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 59, ""src"": ""2297:54:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.1,FunctionCall,transfer,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 58, ""src"": ""2297:54:0""}"
call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.2,FunctionCall,balanceOf,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 57, ""src"": ""2320:30:0""}"
call:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.withdrawTokens.2.3,FunctionCall,call,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,withdrawTokens,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""2336:13:0""}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases,Function,haltPurchases,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,haltPurchases,73,76,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 75, ""src"": ""2638:93:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,Modifier,modifier_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,haltPurchases,73,76,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.1,Stmt,stmt_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,haltPurchases,74,74,"{""_layers"": [""stage1_ast""], ""ast_id"": 69, ""src"": ""2669:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.2,Stmt,stmt_2,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,haltPurchases,75,75,"{""_layers"": [""stage1_ast""], ""ast_id"": 73, ""src"": ""2705:21:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.haltPurchases.2.1,Assignment,assign_2_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,haltPurchases,75,75,"{""_layers"": [""stage1_ast""], ""ast_id"": 72, ""src"": ""2705:21:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.resumePurchases,Function,resumePurchases,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,resumePurchases,78,81,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 89, ""src"": ""2735:96:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""IOU""}"
modifier:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.resumePurchases.1,Modifier,modifier_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,resumePurchases,78,81,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.resumePurchases.1,Stmt,stmt_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,resumePurchases,79,79,"{""_layers"": [""stage1_ast""], ""ast_id"": 83, ""src"": ""2768:30:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.resumePurchases.2,Stmt,stmt_2,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,resumePurchases,80,80,"{""_layers"": [""stage1_ast""], ""ast_id"": 87, ""src"": ""2804:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.resumePurchases.2.1,Assignment,assign_2_1,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc.sol,0x4e61ba9c25d43e802c6be8d160432e4989dea1fc,resumePurchases,80,80,"{""_layers"": [""stage1_ast""], ""ast_id"": 86, ""src"": ""2804:22:0"", ""operator"": ""="", ""type"": ""bool""}"
