src,relation,dst,extra_json
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.maintoken,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.owner,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.user,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.usertoken,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.userether,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.dividends1token,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.dividendstart,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.users,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.admins,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasStateVar,statevar:0x644417f540bf96fd218287454501b2eb13c83295.tokenReward,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasFunction,function:0x644417f540bf96fd218287454501b2eb13c83295.Dividends,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.Dividends,hasModifier,modifier:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.Dividends,containsStmt,stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.Dividends,entryPointIs,stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,containsAssignment,assign:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,containsCall,call:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.Dividends,containsStmt,stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.1,hasNext,stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.2,containsAssignment,assign:0x644417f540bf96fd218287454501b2eb13c83295.Dividends.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x644417f540bf96fd218287454501b2eb13c83295,hasFunction,function:0x644417f540bf96fd218287454501b2eb13c83295.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.constructor,hasModifier,modifier:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.constructor,containsStmt,stmt:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x644417f540bf96fd218287454501b2eb13c83295.constructor,entryPointIs,stmt:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,containsAssignment,assign:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,containsAssignment,assign:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1,containsAssignment,assign:0x644417f540bf96fd218287454501b2eb13c83295.constructor.1.3,"{""_layers"": [""stage1_ast""]}"
