src,relation,dst,extra_json
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.description,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetToken,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.wallet,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.ratioNext,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.ethPrice,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetSold,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetSupply,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetPriceStart,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetPriceTarget,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiMinimum,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiMaximum,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiWelfare,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasStateVar,statevar:0x652729577d5c5a13060f81c256aa79adb264f188.welfare,"{""_layers"": [""stage1_ast""]}"
contract:0x652729577d5c5a13060f81c256aa79adb264f188,hasFunction,function:0x652729577d5c5a13060f81c256aa79adb264f188.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x652729577d5c5a13060f81c256aa79adb264f188.constructor,hasModifier,modifier:0x652729577d5c5a13060f81c256aa79adb264f188.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x652729577d5c5a13060f81c256aa79adb264f188.constructor,containsStmt,stmt:0x652729577d5c5a13060f81c256aa79adb264f188.constructor.1,"{""_layers"": [""stage1_ast""]}"
