node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x652729577d5c5a13060f81c256aa79adb264f188,Contract,0x652729577d5c5a13060f81c256aa79adb264f188,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,126,228,"{""_layers"": [""stage1_ast""], ""ast_id"": 559, ""src"": ""3242:3399:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""VNETTokenPreSale""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.description,StateVar,description,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,129,129,"{""_layers"": [""stage1_ast""], ""ast_id"": 210, ""src"": ""3318:58:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetToken,StateVar,vnetToken,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,131,131,"{""_layers"": [""stage1_ast""], ""ast_id"": 212, ""src"": ""3387:27:0"", ""type"": ""contract ERC20Basic"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.wallet,StateVar,wallet,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,132,132,"{""_layers"": [""stage1_ast""], ""ast_id"": 214, ""src"": ""3420:14:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.ratioNext,StateVar,ratioNext,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,133,133,"{""_layers"": [""stage1_ast""], ""ast_id"": 216, ""src"": ""3440:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.ethPrice,StateVar,ethPrice,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,134,134,"{""_layers"": [""stage1_ast""], ""ast_id"": 218, ""src"": ""3489:23:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetSold,StateVar,vnetSold,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,135,135,"{""_layers"": [""stage1_ast""], ""ast_id"": 220, ""src"": ""3537:23:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetSupply,StateVar,vnetSupply,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,136,136,"{""_layers"": [""stage1_ast""], ""ast_id"": 233, ""src"": ""3585:54:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetPriceStart,StateVar,vnetPriceStart,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,137,137,"{""_layers"": [""stage1_ast""], ""ast_id"": 241, ""src"": ""3666:50:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.vnetPriceTarget,StateVar,vnetPriceTarget,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,138,138,"{""_layers"": [""stage1_ast""], ""ast_id"": 249, ""src"": ""3736:51:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiMinimum,StateVar,weiMinimum,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,139,139,"{""_layers"": [""stage1_ast""], ""ast_id"": 257, ""src"": ""3807:42:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiMaximum,StateVar,weiMaximum,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,140,140,"{""_layers"": [""stage1_ast""], ""ast_id"": 265, ""src"": ""3866:44:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.weiWelfare,StateVar,weiWelfare,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,141,141,"{""_layers"": [""stage1_ast""], ""ast_id"": 273, ""src"": ""3929:43:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x652729577d5c5a13060f81c256aa79adb264f188.welfare,StateVar,welfare,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,,143,143,"{""_layers"": [""stage1_ast""], ""ast_id"": 277, ""src"": ""3991:39:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
function:0x652729577d5c5a13060f81c256aa79adb264f188.constructor,Function,constructor,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,constructor,153,158,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 318, ""src"": ""4261:184:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VNETTokenPreSale""}"
modifier:0x652729577d5c5a13060f81c256aa79adb264f188.constructor.1,Modifier,modifier_1,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,constructor,153,158,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x652729577d5c5a13060f81c256aa79adb264f188.constructor.1,Stmt,stmt_1,0x652729577d5c5a13060f81c256aa79adb264f188.sol,0x652729577d5c5a13060f81c256aa79adb264f188,constructor,154,154,"{""_layers"": [""stage1_ast""], ""ast_id"": 305, ""src"": ""4332:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
