src,relation,dst,extra_json
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sharesTokenAddress,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.startICO,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.periodICO,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.stopICO,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.price,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.coeff,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.tokenSold,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.tokenFree,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.crowdsaleClosed,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasStateVar,statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.owner,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasFunction,function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,hasModifier,modifier:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,entryPointIs,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,hasNext,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,containsCall,call:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,hasNext,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3,hasNext,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.4,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.4.1,"{""_layers"": [""stage1_ast""]}"
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,hasFunction,function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor,hasModifier,modifier:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor,entryPointIs,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,containsCall,call:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor,containsStmt,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.1,hasNext,stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2,containsAssignment,assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.constructor.2.6,"{""_layers"": [""stage1_ast""]}"
