node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Contract,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,8,79,"{""_layers"": [""stage1_ast""], ""ast_id"": 302, ""src"": ""172:2431:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Crowdsale""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sharesTokenAddress,StateVar,sharesTokenAddress,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""195:31:0"", ""type"": ""contract token"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.startICO,StateVar,startICO,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""247:26:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.periodICO,StateVar,periodICO,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""289:21:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.stopICO,StateVar,stopICO,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""329:19:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.price,StateVar,price,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 30, ""src"": ""362:36:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.coeff,StateVar,coeff,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 33, ""src"": ""432:19:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.tokenSold,StateVar,tokenSold,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""481:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.tokenFree,StateVar,tokenFree,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""527:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.crowdsaleClosed,StateVar,crowdsaleClosed,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""573:35:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.owner,StateVar,owner,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""612:20:0"", ""type"": ""address"", ""visibility"": ""public""}"
function:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale,Function,Crowdsale,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,27,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 84, ""src"": ""711:214:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Crowdsale""}"
modifier:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,Modifier,modifier_1,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,27,32,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1,Stmt,stmt_1,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 64, ""src"": ""791:14:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.1.1,Assignment,assign_1_1,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 63, ""src"": ""791:14:0"", ""operator"": ""="", ""type"": ""address""}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2,Stmt,stmt_2,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 70, ""src"": ""809:41:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2.1,Assignment,assign_2_1,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 69, ""src"": ""809:41:0"", ""operator"": ""="", ""type"": ""contract token""}"
call:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.2.1,FunctionCall,token,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""830:20:0""}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3,Stmt,stmt_3,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 76, ""src"": ""854:33:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.3.1,Assignment,assign_3_1,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 75, ""src"": ""854:33:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.Crowdsale.4,Stmt,stmt_4,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053.sol,0x6cd171ef32b2ffa2b54481bea9d72692cd44f053,Crowdsale,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""891:30:0"", ""stmt_kind"": ""ExpressionStatement""}"
