src,relation,dst,extra_json
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.beneficiary,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.amountRaised,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.price,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.contractover,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.swapaddress,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.balanceOf,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.check,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasStateVar,statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.counter,"{""_layers"": [""stage1_ast""]}"
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,hasFunction,function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,hasModifier,modifier:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,entryPointIs,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,containsRequire,require:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,containsRequire,require:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.5,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.6,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.5,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.6,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.6,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsAssignment,assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.4,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.8,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.8,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.8,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.8.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.9,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.8,hasNext,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.9,"{""_layers"": [""stage1_ast""]}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.9,containsCall,call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.9.1,"{""_layers"": [""stage1_ast""]}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,containsStmt,stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.10,"{""_layers"": [""stage1_ast""]}"
