node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x78e6d2bfe731e578a50a4129df89bb4950591d18,Contract,0x78e6d2bfe731e578a50a4129df89bb4950591d18,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,7,66,"{""_layers"": [""stage1_ast""], ""ast_id"": 199, ""src"": ""124:1665:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Swap""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.beneficiary,StateVar,beneficiary,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""144:26:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.amountRaised,StateVar,amountRaised,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""176:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.price,StateVar,price,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""206:17:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.contractover,StateVar,contractover,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""229:25:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.swapaddress,StateVar,swapaddress,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""260:30:0"", ""type"": ""contract collectible"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.balanceOf,StateVar,balanceOf,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""296:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.check,StateVar,check,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""346:37:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
statevar:0x78e6d2bfe731e578a50a4129df89bb4950591d18.counter,StateVar,counter,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""389:19:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor,Function,constructor,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,24,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 65, ""src"": ""555:300:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Swap""}"
modifier:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,Modifier,modifier_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,24,32,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1,Stmt,stmt_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 51, ""src"": ""705:20:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1.1,Assignment,assign_1_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 50, ""src"": ""705:20:0"", ""operator"": ""="", ""type"": ""address""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2,Stmt,stmt_2,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 57, ""src"": ""735:44:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2.1,Assignment,assign_2_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""735:44:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3,Stmt,stmt_3,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 63, ""src"": ""789:59:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3.1,Assignment,assign_3_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""789:59:0"", ""operator"": ""="", ""type"": ""contract collectible""}"
call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.3.1,FunctionCall,collectible,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""803:45:0""}"
require:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.1.1,Require,require,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,37,37,"{""_layers"": [""stage1_ast""], ""ast_id"": 75, ""src"": ""907:35:0""}"
require:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.2.1,Require,require,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,38,38,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""952:44:0""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4,Stmt,stmt_4,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 95, ""src"": ""1048:31:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.4.1,Assignment,assign_4_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""1048:31:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.5,Stmt,stmt_5,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""1107:19:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.6,Stmt,stmt_6,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,45,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 103, ""src"": ""1136:18:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7,Stmt,stmt_7,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,47,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 175, ""src"": ""1173:474:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.1,Assignment,assign_7_1,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,48,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 109, ""src"": ""1204:12:0"", ""operator"": ""+="", ""type"": ""uint256""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.2,Assignment,assign_7_2,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 134, ""src"": ""1362:22:0"", ""operator"": ""+="", ""type"": ""uint256""}"
assign:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.3,Assignment,assign_7_3,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 155, ""src"": ""1514:22:0"", ""operator"": ""+="", ""type"": ""uint256""}"
call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.1,FunctionCall,transfer,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,49,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 117, ""src"": ""1226:41:0""}"
call:0x78e6d2bfe731e578a50a4129df89bb4950591d18.constructor.7.2,FunctionCall,send,0x78e6d2bfe731e578a50a4129df89bb4950591d18.sol,0x78e6d2bfe731e578a50a4129df89bb4950591d18,constructor,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 126, ""src"": ""1277:26:0""}"
