src,relation,dst,extra_json
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.beneficiary,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.amountRaised,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.price,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.contractover,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.swapaddress,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.check,"{""_layers"": [""stage1_ast""]}"
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,hasFunction,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,hasModifier,modifier:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,entryPointIs,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,containsRequire,require:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,containsRequire,require:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.4,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.4.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.4,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.5,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.5.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.6,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.5,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.6,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.7,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.6,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.7,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.8,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.7,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.8,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.8,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9.3,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.10,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.9,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.10,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.10,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.10.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.11,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.10,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.11,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.11,containsCall,call:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.11.1,"{""_layers"": [""stage1_ast""]}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,containsStmt,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.12,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.11,hasNext,stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.12,"{""_layers"": [""stage1_ast""]}"
stmt:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.12,containsAssignment,assign:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.12.1,"{""_layers"": [""stage1_ast""]}"
stateread:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.1.1,targetsStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.check,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""check"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.1""}"
statewrite:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,targetsStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""balanceOf"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
stateread:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4.1,targetsStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""balanceOf"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
stateread:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.20.1,targetsStateVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.check,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 20, ""state_var"": ""check"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.20""}"
commit:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,commitsVar,statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""balanceOf"", ""pre_version"": ""balanceOf_1"", ""post_version"": ""balanceOf_2"", ""evidence_ref"": ""raw_ssa:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
statewrite:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,preStateVersion,version:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf_1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""balanceOf"", ""pre_version"": ""balanceOf_1"", ""post_version"": ""balanceOf_2"", ""evidence_ref"": ""raw_ssa:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
statewrite:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,postStateVersion,version:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""balanceOf"", ""pre_version"": ""balanceOf_1"", ""post_version"": ""balanceOf_2"", ""evidence_ref"": ""raw_ssa:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
statewrite:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,commitsState,commit:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""balanceOf"", ""pre_version"": ""balanceOf_1"", ""post_version"": ""balanceOf_2"", ""evidence_ref"": ""raw_ssa:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.fallback.4""}"
cfgentry:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,entryOf,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)""}"
cfgexit:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,exitOf,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)""}"
cfgnode:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,inFunction,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)""}"
cfgnode:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,inFunction,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)""}"
cfgnode:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.3,inFunction,function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)""}"
cfgnode:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,nextBlock,cfgnode:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.2,"{""_layers"": [""stage4_control""], ""function"": ""constructor(address,uint256,address)"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\SCRUBD-GRAPH\\0x8e3e25958ad448aeb5982a01b63bcb91355d56a5\\cfg__0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol-Swap-constructor(address,uint256,address).dot""}"
