node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,Contract,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,7,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 185, ""src"": ""124:1570:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Swap""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.beneficiary,StateVar,beneficiary,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""144:26:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.amountRaised,StateVar,amountRaised,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""176:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.price,StateVar,price,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""206:17:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.contractover,StateVar,contractover,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""229:25:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.swapaddress,StateVar,swapaddress,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""260:30:0"", ""type"": ""contract collectible"", ""visibility"": ""public""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.balanceOf,StateVar,balanceOf,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""296:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.check,StateVar,check,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""346:37:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
function:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor,Function,constructor,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,constructor,23,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 62, ""src"": ""530:300:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Swap""}"
modifier:0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.constructor.1,Modifier,modifier_1,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5.sol,0x8e3e25958ad448aeb5982a01b63bcb91355d56a5,constructor,23,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
