src,relation,dst,extra_json
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.name,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.beneficiary,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.fundingGoal,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.amountRaised,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.deadline,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.price,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.tokenReward,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.tokensLeft,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.balanceOf,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.fundingGoalReached,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasStateVar,statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.crowdsaleClosed,"{""_layers"": [""stage1_ast""]}"
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,hasFunction,function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,hasModifier,modifier:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,containsStmt,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,entryPointIs,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,containsAssignment,assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,containsStmt,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,hasNext,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2,containsAssignment,assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,containsStmt,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2,hasNext,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3,containsAssignment,assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,containsStmt,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3,hasNext,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.4,containsAssignment,assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.4.1,"{""_layers"": [""stage1_ast""]}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,containsStmt,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.4,hasNext,stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.5,"{""_layers"": [""stage1_ast""]}"
