node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x92579f2fa430b20bf6ce9d19938fe061aad992e2,Contract,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,12,133,"{""_layers"": [""stage1_ast""], ""ast_id"": 348, ""src"": ""386:3158:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""DCY_preICO""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.name,StateVar,name,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""413:51:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.beneficiary,StateVar,beneficiary,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""470:26:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.fundingGoal,StateVar,fundingGoal,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 48, ""src"": ""503:23:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.amountRaised,StateVar,amountRaised,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 50, ""src"": ""532:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.deadline,StateVar,deadline,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""562:20:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.price,StateVar,price,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 54, ""src"": ""588:17:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.tokenReward,StateVar,tokenReward,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""612:24:0"", ""type"": ""contract token"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.tokensLeft,StateVar,tokensLeft,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 58, ""src"": ""642:25:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.balanceOf,StateVar,balanceOf,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""674:44:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.fundingGoalReached,StateVar,fundingGoalReached,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 65, ""src"": ""725:38:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.crowdsaleClosed,StateVar,crowdsaleClosed,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""769:35:0"", ""type"": ""bool"", ""visibility"": ""public""}"
function:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO,Function,DCY_preICO,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,34,48,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 124, ""src"": ""983:436:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""DCY_preICO""}"
modifier:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,Modifier,modifier_1,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,34,48,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1,Stmt,stmt_1,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 98, ""src"": ""1187:32:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.1.1,Assignment,assign_1_1,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 97, ""src"": ""1187:32:0"", ""operator"": ""="", ""type"": ""address""}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2,Stmt,stmt_2,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 104, ""src"": ""1229:43:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.2.1,Assignment,assign_2_1,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 103, ""src"": ""1229:43:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x92579f2fa430b20bf6ce9d19938fe061aad992e2.DCY_preICO.3,Stmt,stmt_3,0x92579f2fa430b20bf6ce9d19938fe061aad992e2.sol,0x92579f2fa430b20bf6ce9d19938fe061aad992e2,DCY_preICO,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""1282:46:0"", ""stmt_kind"": ""ExpressionStatement""}"
