src,relation,dst,extra_json
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.creator,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.tokenManager,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.multisigAddress,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.otherCurrenciesChecker,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.icoStartedTime,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.mntToken,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.unsoldContract,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.buyers,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.STD_PRICE_USD_PER_1000_TOKENS,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.ETH_PRICE_IN_USD,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.SINGLE_BLOCK_LEN,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.BONUS_REWARD,"{""_layers"": [""stage1_ast""]}"
contract:0x926e81009c2fa4475e1c798a8c43a4f598575c80,hasStateVar,statevar:0x926e81009c2fa4475e1c798a8c43a4f598575c80.FOUNDERS_REWARD,"{""_layers"": [""stage1_ast""]}"
