src,relation,dst,extra_json
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.kittenContract,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.dropNumber,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.kittensDroppedToTheWorld,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.kittensRemainingToDrop,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.holderAmount,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.basicReward,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.donatorReward,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.holderReward,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.totalDropTransactions,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasStateVar,statevar:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.participants,"{""_layers"": [""stage1_ast""]}"
contract:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8,hasFunction,function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,hasModifier,modifier:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,containsStmt,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,entryPointIs,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,containsStmt,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.1,hasNext,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2,containsAssignment,assign:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2,containsCall,call:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,containsStmt,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.2,hasNext,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.3,containsAssignment,assign:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.3.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,containsStmt,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.3,hasNext,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.4,containsAssignment,assign:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.4.1,"{""_layers"": [""stage1_ast""]}"
function:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop,containsStmt,stmt:0xa1e4608ff6b4b9324c6472eee2efebd20a20bbe8.KittenSelfDrop.5,"{""_layers"": [""stage1_ast""]}"
