src,relation,dst,extra_json
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.throughput,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.dividends,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.multiplier,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.payoutOrder,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.backlog,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.participants,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.creditRemaining,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.weak_hands,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasStateVar,statevar:0xa5629861c9c345f50221996ef852fd9665eb1c05.limit,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasFunction,function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,hasModifier,modifier:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,entryPointIs,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.1,hasNext,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.2,containsAssignment,assign:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.2,hasNext,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3,containsAssignment,assign:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3,containsCall,call:0xa5629861c9c345f50221996ef852fd9665eb1c05.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0xa5629861c9c345f50221996ef852fd9665eb1c05,hasFunction,function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,entryPointIs,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.1,containsRequire,require:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.1,hasNext,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.2,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.2,hasNext,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3,containsCall,call:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3,containsCall,call:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3.2,"{""_layers"": [""stage1_ast""]}"
function:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit,containsStmt,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.3,hasNext,stmt:0xa5629861c9c345f50221996ef852fd9665eb1c05.deposit.4,"{""_layers"": [""stage1_ast""]}"
