src,relation,dst,extra_json
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasStateVar,statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.name,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasStateVar,statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.total_supply,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasStateVar,statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasStateVar,statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.allowed,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasFunction,function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,hasModifier,modifier:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,entryPointIs,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,containsRequire,require:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,hasNext,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,containsAssignment,assign:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,containsCall,call:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,hasNext,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3,containsAssignment,assign:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3,containsCall,call:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasFunction,function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,hasModifier,modifier:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,entryPointIs,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,containsAssignment,assign:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,containsCall,call:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.1,hasNext,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2,containsAssignment,assign:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2,containsCall,call:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.2,hasNext,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.3,containsCall,call:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.withdraw.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasFunction,function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf,hasModifier,modifier:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf,entryPointIs,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,hasFunction,function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.transfer,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.transfer,hasModifier,modifier:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.transfer.1,"{""_layers"": [""stage1_ast""]}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.transfer,containsStmt,stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.transfer.1,"{""_layers"": [""stage1_ast""]}"
