node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,Contract,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,,54,148,"{""_layers"": [""stage1_ast""], ""ast_id"": 511, ""src"": ""1976:3120:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Wrapped_Ether""}"
statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.name,StateVar,name,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 193, ""src"": ""2069:36:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.total_supply,StateVar,total_supply,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 195, ""src"": ""2109:24:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.balances,StateVar,balances,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,,66,66,"{""_layers"": [""stage1_ast""], ""ast_id"": 199, ""src"": ""2156:33:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.allowed,StateVar,allowed,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,,67,67,"{""_layers"": [""stage1_ast""], ""ast_id"": 205, ""src"": ""2193:53:0"", ""type"": ""mapping(address => mapping(address => uint256))"", ""visibility"": ""internal""}"
function:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken,Function,CreateToken,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,CreateToken,78,82,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 260, ""src"": ""2576:183:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Wrapped_Ether""}"
modifier:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,Modifier,modifier_1,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,CreateToken,78,82,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1,Stmt,stmt_1,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,CreateToken,79,79,"{""_layers"": [""stage1_ast""], ""ast_id"": 236, ""src"": ""2620:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.1.1,Require,require,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,CreateToken,79,79,"{""_layers"": [""stage1_ast""], ""ast_id"": 235, ""src"": ""2620:22:0""}"
stmt:0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.CreateToken.2,Stmt,stmt_2,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc.sol,0xa9b6e2381dee5dd4ea5d6e31e11b3c6f10d35afc,CreateToken,80,80,"{""_layers"": [""stage1_ast""], ""ast_id"": 250, ""src"": ""2648:58:0"", ""stmt_kind"": ""ExpressionStatement""}"
