src,relation,dst,extra_json
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.eth_sent,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.total_iou_available,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.total_iou_purchased,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.total_iou_withdrawn,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.price_per_eth,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.token,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.seller,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasStateVar,statevar:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.halt_purchases,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasFunction,function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens,"{""_layers"": [""stage1_ast""]}"
function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens,containsStmt,stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens,entryPointIs,stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1,containsCall,call:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1,containsCall,call:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1,containsCall,call:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.withdrawTokens.1.3,"{""_layers"": [""stage1_ast""]}"
contract:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49,hasFunction,function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.haltPurchases,"{""_layers"": [""stage1_ast""]}"
function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.haltPurchases,containsStmt,stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
function:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.haltPurchases,entryPointIs,stmt:0xaa3f3485b5a009b34308707aa8e4c6f6c8e4dd49.haltPurchases.1,"{""_layers"": [""stage1_ast""]}"
