src,relation,dst,extra_json
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasStateVar,statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.whale,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasStateVar,statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.stake,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasStateVar,statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.blockheight,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasStateVar,statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.PERIOD,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasStateVar,statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.DELTA,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasFunction,function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew,hasModifier,modifier:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew,containsStmt,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew,entryPointIs,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,containsCall,call:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,hasFunction,function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,hasModifier,modifier:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,containsStmt,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,entryPointIs,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1,containsAssignment,assign:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,containsStmt,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.1,hasNext,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.2,containsAssignment,assign:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts,containsStmt,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.2,hasNext,stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.setFacts.3,"{""_layers"": [""stage1_ast""]}"
