node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,Contract,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,7,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 148, ""src"": ""189:1547:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Mattew""}"
statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.whale,StateVar,whale,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 3, ""src"": ""211:13:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.stake,StateVar,stake,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""230:13:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.blockheight,StateVar,blockheight,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""249:19:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.PERIOD,StateVar,PERIOD,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""274:29:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.DELTA,StateVar,DELTA,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""342:31:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew,Function,Mattew,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,Mattew,17,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 40, ""src"": ""553:44:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Mattew""}"
modifier:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,Modifier,modifier_1,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,Mattew,17,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1,Stmt,stmt_1,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,Mattew,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""580:10:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.Mattew.1.1,FunctionCall,setFacts,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d.sol,0xb0ceaa9cc523332cbef9fc606221cc0bc2d0872d,Mattew,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""580:10:0""}"
