src,relation,dst,extra_json
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.receivers,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.amountToClaim,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.totalSent,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672._owner,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.whoSent,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.dappBalance,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.brpt,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.brpt1,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.currentToken,"{""_layers"": [""stage1_ast""]}"
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,hasStateVar,statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.currentTokenAddress,"{""_layers"": [""stage1_ast""]}"
