node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,Contract,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,77,195,"{""_layers"": [""stage1_ast""], ""ast_id"": 277, ""src"": ""2602:2542:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""KlownGasDrop""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.receivers,StateVar,receivers,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,81,81,"{""_layers"": [""stage1_ast""], ""ast_id"": 72, ""src"": ""2644:41:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""public""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.balances,StateVar,balances,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,83,83,"{""_layers"": [""stage1_ast""], ""ast_id"": 76, ""src"": ""2709:46:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.amountToClaim,StateVar,amountToClaim,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,85,85,"{""_layers"": [""stage1_ast""], ""ast_id"": 79, ""src"": ""2797:32:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.totalSent,StateVar,totalSent,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,86,86,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""2832:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672._owner,StateVar,_owner,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,88,88,"{""_layers"": [""stage1_ast""], ""ast_id"": 84, ""src"": ""2865:15:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.whoSent,StateVar,whoSent,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,89,89,"{""_layers"": [""stage1_ast""], ""ast_id"": 86, ""src"": ""2883:16:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.dappBalance,StateVar,dappBalance,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 88, ""src"": ""2902:19:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.brpt,StateVar,brpt,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,93,93,"{""_layers"": [""stage1_ast""], ""ast_id"": 91, ""src"": ""2969:20:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.brpt1,StateVar,brpt1,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,94,94,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""2995:21:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.currentToken,StateVar,currentToken,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672.sol,0xc7bd5dac314a67a375a0347d72797c2ea1f1a672,,96,96,"{""_layers"": [""stage1_ast""], ""ast_id"": 96, ""src"": ""3023:19:0"", ""type"": ""contract IERC20"", ""visibility"": ""internal""}"
