src,relation,dst,extra_json
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.token,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.startDate,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.endDate,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.holderList,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.holderIndexes,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.holderIndex,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.assetOwners,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.assetOwnersIndex,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasStateVar,statevar:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.assetOwnersIndexes,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold,hasModifier,modifier:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.1,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.2,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.OpportyBountyHold.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addHolder.1.2,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.1,containsRequire,require:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.1,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.2,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.2,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.3,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.changeHold.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.1,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.2,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.2,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.3,containsAssignment,assign:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.addAssetsOwner.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.1,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.2,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.2,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.3,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.3,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.removeAssetsOwner.4,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getAssetsOwners,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getAssetsOwners,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getAssetsOwners.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getAssetsOwners,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getAssetsOwners.1,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance,hasModifier,modifier:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance.1,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.getBalance.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,entryPointIs,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1,containsRequire,require:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.1,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.2,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.2,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.3,containsCall,call:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.3.1,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens,containsStmt,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.3,hasNext,stmt:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.returnTokens.4,"{""_layers"": [""stage1_ast""]}"
contract:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9,hasFunction,function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.unlockTokens,"{""_layers"": [""stage1_ast""]}"
function:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.unlockTokens,hasModifier,modifier:0xc86dd185fc95031489b89eeaaa3fd47e11c065e9.unlockTokens.1,"{""_layers"": [""stage1_ast""]}"
