src,relation,dst,extra_json
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasStateVar,statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasStateVar,statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasStateVar,statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.Log,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasStateVar,statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.intitalized,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasFunction,function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,hasModifier,modifier:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,containsStmt,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,entryPointIs,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,containsCall,call:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,containsStmt,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,hasNext,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2,containsAssignment,assign:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasFunction,function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile,hasModifier,modifier:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile,containsStmt,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile,entryPointIs,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1,containsCall,call:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile,containsStmt,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.1,hasNext,stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2,containsAssignment,assign:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2,containsCall,call:0xd518db222f37f9109db8e86e2789186c7e340f12.SetLogFile.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,hasFunction,function:0xd518db222f37f9109db8e86e2789186c7e340f12.Initialized,"{""_layers"": [""stage1_ast""]}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.Initialized,hasModifier,modifier:0xd518db222f37f9109db8e86e2789186c7e340f12.Initialized.1,"{""_layers"": [""stage1_ast""]}"
