node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xd518db222f37f9109db8e86e2789186c7e340f12,Contract,0xd518db222f37f9109db8e86e2789186c7e340f12,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,,3,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 131, ""src"": ""26:1113:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""D_BANK""}"
statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.balances,StateVar,balances,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""48:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.MinSum,StateVar,MinSum,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""103:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.Log,StateVar,Log,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""142:65:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0xd518db222f37f9109db8e86e2789186c7e340f12.intitalized,StateVar,intitalized,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""218:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum,Function,SetMinSum,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,13,18,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 30, ""src"": ""245:108:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""D_BANK""}"
modifier:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,Modifier,modifier_1,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,13,18,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1,Stmt,stmt_1,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""300:23:0"", ""stmt_kind"": ""IfStatement""}"
call:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.1.1,FunctionCall,revert,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""315:8:0""}"
stmt:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2,Stmt,stmt_2,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""333:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xd518db222f37f9109db8e86e2789186c7e340f12.SetMinSum.2.1,Assignment,assign_2_1,0xd518db222f37f9109db8e86e2789186c7e340f12.sol,0xd518db222f37f9109db8e86e2789186c7e340f12,SetMinSum,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""333:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
