src,relation,dst,extra_json
contract:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057,hasStateVar,statevar:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.owner,"{""_layers"": [""stage1_ast""]}"
contract:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057,hasStateVar,statevar:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.SafeTime,"{""_layers"": [""stage1_ast""]}"
contract:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057,hasStateVar,statevar:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.swaps,"{""_layers"": [""stage1_ast""]}"
contract:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057,hasFunction,function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor,hasModifier,modifier:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor,containsStmt,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor,entryPointIs,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor.1,containsAssignment,assign:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057,hasFunction,function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,hasModifier,modifier:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,containsStmt,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,entryPointIs,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1,containsRequire,require:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,containsStmt,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.1,hasNext,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2,containsRequire,require:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2,containsCall,call:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,containsStmt,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.2,hasNext,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,containsRequire,require:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,containsCall,call:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,containsCall,call:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3.2,"{""_layers"": [""stage1_ast""]}"
function:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap,containsStmt,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.3,hasNext,stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4,containsAssignment,assign:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4,containsCall,call:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4,containsCall,call:0xd84b6aec4985e68ef5882de0b5d0b30992bb5057.createSwap.4.2,"{""_layers"": [""stage1_ast""]}"
