src,relation,dst,extra_json
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.owner,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.abx_token,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.account_data,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.current_period,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.periods,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasStateVar,statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.accounts,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasFunction,function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod,hasModifier,modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod,entryPointIs,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,containsAssignment,assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,hasFunction,function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,hasModifier,modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,entryPointIs,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,containsAssignment,assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,hasNext,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2,containsAssignment,assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2,hasNext,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3,containsCall,call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3,hasNext,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4,containsCall,call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4,hasNext,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5,"{""_layers"": [""stage1_ast""]}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5,containsCall,call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5.1,"{""_layers"": [""stage1_ast""]}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,containsStmt,stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.6,"{""_layers"": [""stage1_ast""]}"
