node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,Contract,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,11,168,"{""_layers"": [""stage1_ast""], ""ast_id"": 556, ""src"": ""197:4399:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""VestingContractABX""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.owner,StateVar,owner,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""420:20:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.abx_token,StateVar,abx_token,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 30, ""src"": ""444:25:0"", ""type"": ""contract ABXToken"", ""visibility"": ""public""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.account_data,StateVar,account_data,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""473:52:0"", ""type"": ""mapping(address => struct VestingContractABX.AccountData)"", ""visibility"": ""public""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.current_period,StateVar,current_period,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""529:26:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.periods,StateVar,periods,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""559:21:0"", ""type"": ""uint256[]"", ""visibility"": ""public""}"
statevar:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.accounts,StateVar,accounts,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""584:25:0"", ""type"": ""address[]"", ""visibility"": ""public""}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod,Function,setPeriod,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,setPeriod,47,51,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 87, ""src"": ""973:73:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VestingContractABX""}"
modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,Modifier,modifier_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,setPeriod,47,51,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1,Stmt,stmt_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,setPeriod,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 85, ""src"": ""1027:14:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.setPeriod.1.1,Assignment,assign_1_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,setPeriod,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 84, ""src"": ""1027:14:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX,Function,VestingContractABX,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,54,74,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 209, ""src"": ""1066:965:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VestingContractABX""}"
modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,Modifier,modifier_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,54,74,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1,Stmt,stmt_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 96, ""src"": ""1134:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.1.1,Assignment,assign_1_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 95, ""src"": ""1134:18:0"", ""operator"": ""="", ""type"": ""address""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2,Stmt,stmt_2,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,58,58,"{""_layers"": [""stage1_ast""], ""ast_id"": 100, ""src"": ""1158:22:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.2.1,Assignment,assign_2_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,58,58,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""1158:22:0"", ""operator"": ""="", ""type"": ""contract ABXToken""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3,Stmt,stmt_3,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 106, ""src"": ""1191:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.3.1,FunctionCall,push,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,60,60,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""1191:24:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4,Stmt,stmt_4,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""1235:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.4.1,FunctionCall,push,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 111, ""src"": ""1235:24:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5,Stmt,stmt_5,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 122, ""src"": ""1279:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.5.1,FunctionCall,push,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 121, ""src"": ""1279:24:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.6,Stmt,stmt_6,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 126, ""src"": ""1328:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.6.1,Assignment,assign_6_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 125, ""src"": ""1328:18:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.7,Stmt,stmt_7,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,65,65,"{""_layers"": [""stage1_ast""], ""ast_id"": 135, ""src"": ""1357:72:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.7.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,65,65,"{""_layers"": [""stage1_ast""], ""ast_id"": 134, ""src"": ""1357:72:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.8,Stmt,stmt_8,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,66,66,"{""_layers"": [""stage1_ast""], ""ast_id"": 144, ""src"": ""1435:68:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.8.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,66,66,"{""_layers"": [""stage1_ast""], ""ast_id"": 143, ""src"": ""1435:68:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.9,Stmt,stmt_9,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,67,67,"{""_layers"": [""stage1_ast""], ""ast_id"": 153, ""src"": ""1509:68:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.9.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,67,67,"{""_layers"": [""stage1_ast""], ""ast_id"": 152, ""src"": ""1509:68:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.10,Stmt,stmt_10,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 162, ""src"": ""1583:68:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.10.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,68,68,"{""_layers"": [""stage1_ast""], ""ast_id"": 161, ""src"": ""1583:68:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.11,Stmt,stmt_11,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,69,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 171, ""src"": ""1657:68:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.11.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,69,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 170, ""src"": ""1657:68:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.12,Stmt,stmt_12,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,70,70,"{""_layers"": [""stage1_ast""], ""ast_id"": 180, ""src"": ""1731:68:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.12.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,70,70,"{""_layers"": [""stage1_ast""], ""ast_id"": 179, ""src"": ""1731:68:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.13,Stmt,stmt_13,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,71,71,"{""_layers"": [""stage1_ast""], ""ast_id"": 189, ""src"": ""1805:69:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.13.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,71,71,"{""_layers"": [""stage1_ast""], ""ast_id"": 188, ""src"": ""1805:69:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.14,Stmt,stmt_14,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,72,72,"{""_layers"": [""stage1_ast""], ""ast_id"": 198, ""src"": ""1880:69:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.14.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,72,72,"{""_layers"": [""stage1_ast""], ""ast_id"": 197, ""src"": ""1880:69:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.15,Stmt,stmt_15,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,73,73,"{""_layers"": [""stage1_ast""], ""ast_id"": 207, ""src"": ""1955:71:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.VestingContractABX.15.1,FunctionCall,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,VestingContractABX,73,73,"{""_layers"": [""stage1_ast""], ""ast_id"": 206, ""src"": ""1955:71:0""}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.constructor,Function,constructor,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,constructor,77,82,"{""_layers"": [""stage1_ast""], ""ast_id"": 216, ""src"": ""2084:55:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.constructor.1,Modifier,modifier_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,constructor,77,82,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.constructor.1,Stmt,stmt_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,constructor,81,81,"{""_layers"": [""stage1_ast""], ""ast_id"": 214, ""src"": ""2126:8:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.constructor.1.1,FunctionCall,revert,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,constructor,81,81,"{""_layers"": [""stage1_ast""], ""ast_id"": 213, ""src"": ""2126:8:0""}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.getBalance,Function,getBalance,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,getBalance,85,91,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 227, ""src"": ""2190:109:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VestingContractABX""}"
modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.getBalance.1,Modifier,modifier_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,getBalance,85,91,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.getBalance.1,Stmt,stmt_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,getBalance,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 225, ""src"": ""2262:32:0"", ""stmt_kind"": ""Return""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.getBalance.1.1,FunctionCall,balanceOf,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,getBalance,90,90,"{""_layers"": [""stage1_ast""], ""ast_id"": 224, ""src"": ""2269:25:0""}"
function:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData,Function,initData,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,93,102,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 287, ""src"": ""2303:385:0"", ""kind"": """", ""visibility"": ""private"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VestingContractABX""}"
modifier:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData.1,Modifier,modifier_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,93,102,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData.1,Stmt,stmt_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,96,96,"{""_layers"": [""stage1_ast""], ""ast_id"": 239, ""src"": ""2361:16:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData.1.1,FunctionCall,push,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,96,96,"{""_layers"": [""stage1_ast""], ""ast_id"": 238, ""src"": ""2361:16:0""}"
stmt:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData.2,Stmt,stmt_2,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,97,97,"{""_layers"": [""stage1_ast""], ""ast_id"": 246, ""src"": ""2383:36:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.initData.2.1,Assignment,assign_2_1,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840.sol,0xdd654450e2ef8f672ef297ea3ff9aabea2e22840,initData,97,97,"{""_layers"": [""stage1_ast""], ""ast_id"": 245, ""src"": ""2383:36:0"", ""operator"": ""="", ""type"": ""uint256""}"
