src,relation,dst,extra_json
contract:dot-pdf,hasStateVar,statevar:dot-pdf.Acc,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasStateVar,statevar:dot-pdf.x,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasStateVar,statevar:dot-pdf.a,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasStateVar,statevar:dot-pdf.b,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasStateVar,statevar:dot-pdf.c,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.simple,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.simple,hasModifier,modifier:dot-pdf.simple.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.simple,containsStmt,stmt:dot-pdf.simple.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.simple,entryPointIs,stmt:dot-pdf.simple.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.simple,containsStmt,stmt:dot-pdf.simple.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.simple.1,hasNext,stmt:dot-pdf.simple.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.simple.2,containsAssignment,assign:dot-pdf.simple.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.simple.2,containsCall,call:dot-pdf.simple.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.simple.2,containsCall,call:dot-pdf.simple.2.2,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.buggy_multi_call_if_2,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_2,hasModifier,modifier:dot-pdf.buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_2,containsStmt,stmt:dot-pdf.buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_2,entryPointIs,stmt:dot-pdf.buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_2.1,containsAssignment,assign:dot-pdf.buggy_multi_call_if_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_2.1,containsCall,call:dot-pdf.buggy_multi_call_if_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_2.1,containsCall,call:dot-pdf.buggy_multi_call_if_2.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_2.1,containsCall,call:dot-pdf.buggy_multi_call_if_2.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_2.1,containsCall,call:dot-pdf.buggy_multi_call_if_2.1.4,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.buggy_multi_call_if_3,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_3,hasModifier,modifier:dot-pdf.buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_3,containsStmt,stmt:dot-pdf.buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_multi_call_if_3,entryPointIs,stmt:dot-pdf.buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_3.1,containsAssignment,assign:dot-pdf.buggy_multi_call_if_3.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_3.1,containsCall,call:dot-pdf.buggy_multi_call_if_3.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_multi_call_if_3.1,containsCall,call:dot-pdf.buggy_multi_call_if_3.1.2,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.non_buggy_multi_call_if_2,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_2,hasModifier,modifier:dot-pdf.non_buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_2,containsStmt,stmt:dot-pdf.non_buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_2,entryPointIs,stmt:dot-pdf.non_buggy_multi_call_if_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_2.1,containsAssignment,assign:dot-pdf.non_buggy_multi_call_if_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_2.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_2.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_2.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_2.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_2.1.3,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_2.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_2.1.4,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.non_buggy_multi_call_if_3,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_3,hasModifier,modifier:dot-pdf.non_buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_3,containsStmt,stmt:dot-pdf.non_buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.non_buggy_multi_call_if_3,entryPointIs,stmt:dot-pdf.non_buggy_multi_call_if_3.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_3.1,containsAssignment,assign:dot-pdf.non_buggy_multi_call_if_3.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_3.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_3.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.non_buggy_multi_call_if_3.1,containsCall,call:dot-pdf.non_buggy_multi_call_if_3.1.2,"{""_layers"": [""stage1_ast""]}"
contract:dot-pdf,hasFunction,function:dot-pdf.buggy_simple_require,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_simple_require,hasModifier,modifier:dot-pdf.buggy_simple_require.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_simple_require,containsStmt,stmt:dot-pdf.buggy_simple_require.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_simple_require,entryPointIs,stmt:dot-pdf.buggy_simple_require.1,"{""_layers"": [""stage1_ast""]}"
function:dot-pdf.buggy_simple_require,containsStmt,stmt:dot-pdf.buggy_simple_require.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_simple_require.1,hasNext,stmt:dot-pdf.buggy_simple_require.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_simple_require.2,containsRequire,require:dot-pdf.buggy_simple_require.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_simple_require.2,containsCall,call:dot-pdf.buggy_simple_require.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.buggy_simple_require.2,containsCall,call:dot-pdf.buggy_simple_require.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:dot-pdf.simple.1,readsStateVar,statevar:dot-pdf.Acc,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Acc"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:dot-pdf.simple.1""}"
