node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:dot-pdf,Contract,dot-pdf,dot-pdf.sol,dot-pdf,,3,55,"{""_layers"": [""stage1_ast""], ""ast_id"": 253, ""src"": ""25:1335:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:dot-pdf.Acc,StateVar,Acc,dot-pdf.sol,dot-pdf,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""130:38:0"", ""type"": ""mapping(address => struct SimpleDAO.Holder)"", ""visibility"": ""public""}"
statevar:dot-pdf.x,StateVar,x,dot-pdf.sol,dot-pdf,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""174:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:dot-pdf.a,StateVar,a,dot-pdf.sol,dot-pdf,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""193:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:dot-pdf.b,StateVar,b,dot-pdf.sol,dot-pdf,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""212:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:dot-pdf.c,StateVar,c,dot-pdf.sol,dot-pdf,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""231:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:dot-pdf.simple,Function,simple,dot-pdf.sol,dot-pdf,simple,15,20,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 51, ""src"": ""251:156:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:dot-pdf.simple.1,Modifier,modifier_1,dot-pdf.sol,dot-pdf,simple,15,20,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:dot-pdf.simple.1,Stmt,stmt_1,dot-pdf.sol,dot-pdf,simple,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""286:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:dot-pdf.simple.2,Stmt,stmt_2,dot-pdf.sol,dot-pdf,simple,18,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""317:83:0"", ""stmt_kind"": ""IfStatement""}"
assign:dot-pdf.simple.2.1,Assignment,assign_2_1,dot-pdf.sol,dot-pdf,simple,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""390:10:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:dot-pdf.simple.2.1,FunctionCall,call,dot-pdf.sol,dot-pdf,simple,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""320:36:0""}"
call:dot-pdf.simple.2.2,FunctionCall,value,dot-pdf.sol,dot-pdf,simple,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 33, ""src"": ""320:34:0""}"
