src,relation,dst,extra_json
contract:onlyowner,hasStateVar,statevar:onlyowner.owner,"{""_layers"": [""stage1_ast""]}"
contract:onlyowner,hasStateVar,statevar:onlyowner.balances,"{""_layers"": [""stage1_ast""]}"
contract:onlyowner,hasFunction,function:onlyowner.constructor,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.constructor,containsStmt,stmt:onlyowner.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.constructor,entryPointIs,stmt:onlyowner.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.constructor.1,containsAssignment,assign:onlyowner.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:onlyowner,hasFunction,function:onlyowner.withdraw_onlyowner,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,hasModifier,modifier:onlyowner.withdraw_onlyowner.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,containsStmt,stmt:onlyowner.withdraw_onlyowner.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,entryPointIs,stmt:onlyowner.withdraw_onlyowner.1,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.1,containsRequire,require:onlyowner.withdraw_onlyowner.1.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,containsStmt,stmt:onlyowner.withdraw_onlyowner.2,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.1,hasNext,stmt:onlyowner.withdraw_onlyowner.2,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.2,containsCall,call:onlyowner.withdraw_onlyowner.2.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,containsStmt,stmt:onlyowner.withdraw_onlyowner.3,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.2,hasNext,stmt:onlyowner.withdraw_onlyowner.3,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.3,containsRequire,require:onlyowner.withdraw_onlyowner.3.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_onlyowner,containsStmt,stmt:onlyowner.withdraw_onlyowner.4,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.3,hasNext,stmt:onlyowner.withdraw_onlyowner.4,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_onlyowner.4,containsAssignment,assign:onlyowner.withdraw_onlyowner.4.1,"{""_layers"": [""stage1_ast""]}"
contract:onlyowner,hasFunction,function:onlyowner.withdraw_not_only_owner,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_not_only_owner,containsStmt,stmt:onlyowner.withdraw_not_only_owner.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_not_only_owner,entryPointIs,stmt:onlyowner.withdraw_not_only_owner.1,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_not_only_owner.1,containsRequire,require:onlyowner.withdraw_not_only_owner.1.1,"{""_layers"": [""stage1_ast""]}"
function:onlyowner.withdraw_not_only_owner,containsStmt,stmt:onlyowner.withdraw_not_only_owner.2,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_not_only_owner.1,hasNext,stmt:onlyowner.withdraw_not_only_owner.2,"{""_layers"": [""stage1_ast""]}"
stmt:onlyowner.withdraw_not_only_owner.2,containsCall,call:onlyowner.withdraw_not_only_owner.2.1,"{""_layers"": [""stage1_ast""]}"
