node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:onlyowner,Contract,onlyowner,onlyowner.sol,onlyowner,,4,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""57:1314:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""VulnerableContract""}"
statevar:onlyowner.owner,StateVar,owner,onlyowner.sol,onlyowner,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 3, ""src"": ""91:20:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:onlyowner.balances,StateVar,balances,onlyowner.sol,onlyowner,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""117:43:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:onlyowner.constructor,Function,constructor,onlyowner.sol,onlyowner,constructor,13,15,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 28, ""src"": ""276:49:0"", ""kind"": ""constructor"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VulnerableContract""}"
stmt:onlyowner.constructor.1,Stmt,stmt_1,onlyowner.sol,onlyowner,constructor,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""300:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:onlyowner.constructor.1.1,Assignment,assign_1_1,onlyowner.sol,onlyowner,constructor,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""300:18:0"", ""operator"": ""="", ""type"": ""address""}"
function:onlyowner.withdraw_onlyowner,Function,withdraw_onlyowner,onlyowner.sol,onlyowner,withdraw_onlyowner,18,27,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 68, ""src"": ""383:411:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""VulnerableContract""}"
modifier:onlyowner.withdraw_onlyowner.1,Modifier,onlyOwner,onlyowner.sol,onlyowner,withdraw_onlyowner,18,27,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:onlyowner.withdraw_onlyowner.1,Stmt,stmt_1,onlyowner.sol,onlyowner,withdraw_onlyowner,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""455:64:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:onlyowner.withdraw_onlyowner.1.1,Require,require,onlyowner.sol,onlyowner,withdraw_onlyowner,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""455:64:0""}"
