src,relation,dst,extra_json
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.a,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.b,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.c,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.d,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.e,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.z,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.m,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.n,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.y,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.x,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.w,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.not_called,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.called,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.Acc,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasStateVar,statevar:require_manual_cases.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasFunction,function:require_manual_cases.non_buggy_single_st_req_1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_1,hasModifier,modifier:require_manual_cases.non_buggy_single_st_req_1.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_1,containsStmt,stmt:require_manual_cases.non_buggy_single_st_req_1.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_1,entryPointIs,stmt:require_manual_cases.non_buggy_single_st_req_1.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_1.1,containsRequire,require:require_manual_cases.non_buggy_single_st_req_1.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_1.1,containsCall,call:require_manual_cases.non_buggy_single_st_req_1.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_1.1,containsCall,call:require_manual_cases.non_buggy_single_st_req_1.1.2,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasFunction,function:require_manual_cases.bug_require_22,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.bug_require_22,hasModifier,modifier:require_manual_cases.bug_require_22.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.bug_require_22,containsStmt,stmt:require_manual_cases.bug_require_22.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.bug_require_22,entryPointIs,stmt:require_manual_cases.bug_require_22.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.bug_require_22,containsStmt,stmt:require_manual_cases.bug_require_22.2,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.1,hasNext,stmt:require_manual_cases.bug_require_22.2,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.2,containsRequire,require:require_manual_cases.bug_require_22.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.2,containsCall,call:require_manual_cases.bug_require_22.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.2,containsCall,call:require_manual_cases.bug_require_22.2.2,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.bug_require_22,containsStmt,stmt:require_manual_cases.bug_require_22.3,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.2,hasNext,stmt:require_manual_cases.bug_require_22.3,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.bug_require_22.3,containsRequire,require:require_manual_cases.bug_require_22.3.1,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasFunction,function:require_manual_cases.non_buggy_single_st_req_2,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_2,hasModifier,modifier:require_manual_cases.non_buggy_single_st_req_2.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_2,containsStmt,stmt:require_manual_cases.non_buggy_single_st_req_2.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_2,entryPointIs,stmt:require_manual_cases.non_buggy_single_st_req_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_2.1,containsRequire,require:require_manual_cases.non_buggy_single_st_req_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_2.1,containsCall,call:require_manual_cases.non_buggy_single_st_req_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:require_manual_cases.non_buggy_single_st_req_2.1,containsCall,call:require_manual_cases.non_buggy_single_st_req_2.1.2,"{""_layers"": [""stage1_ast""]}"
contract:require_manual_cases,hasFunction,function:require_manual_cases.non_buggy_single_st_req_3,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_3,hasModifier,modifier:require_manual_cases.non_buggy_single_st_req_3.1,"{""_layers"": [""stage1_ast""]}"
function:require_manual_cases.non_buggy_single_st_req_3,containsStmt,stmt:require_manual_cases.non_buggy_single_st_req_3.1,"{""_layers"": [""stage1_ast""]}"
