node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:require_manual_cases,Contract,require_manual_cases,require_manual_cases.sol,require_manual_cases,,3,340,"{""_layers"": [""stage1_ast""], ""ast_id"": 1129, ""src"": ""25:9024:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:require_manual_cases.a,StateVar,a,require_manual_cases.sol,require_manual_cases,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 3, ""src"": ""50:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.b,StateVar,b,require_manual_cases.sol,require_manual_cases,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""67:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.c,StateVar,c,require_manual_cases.sol,require_manual_cases,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""84:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.d,StateVar,d,require_manual_cases.sol,require_manual_cases,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""101:15:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.e,StateVar,e,require_manual_cases.sol,require_manual_cases,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""120:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.z,StateVar,z,require_manual_cases.sol,require_manual_cases,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""137:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.m,StateVar,m,require_manual_cases.sol,require_manual_cases,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""154:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.n,StateVar,n,require_manual_cases.sol,require_manual_cases,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""171:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.y,StateVar,y,require_manual_cases.sol,require_manual_cases,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""189:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.x,StateVar,x,require_manual_cases.sol,require_manual_cases,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""206:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.w,StateVar,w,require_manual_cases.sol,require_manual_cases,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""223:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:require_manual_cases.not_called,StateVar,not_called,require_manual_cases.sol,require_manual_cases,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""240:22:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:require_manual_cases.called,StateVar,called,require_manual_cases.sol,require_manual_cases,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""266:18:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:require_manual_cases.Acc,StateVar,Acc,require_manual_cases.sol,require_manual_cases,,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""371:38:0"", ""type"": ""mapping(address => struct SimpleDAO.Holder)"", ""visibility"": ""public""}"
statevar:require_manual_cases.MinSum,StateVar,MinSum,require_manual_cases.sol,require_manual_cases,,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""416:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:require_manual_cases.non_buggy_single_st_req_1,Function,non_buggy_single_st_req_1,require_manual_cases.sol,require_manual_cases,non_buggy_single_st_req_1,31,33,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 54, ""src"": ""442:103:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
