src,relation,dst,extra_json
contract:sample,hasStateVar,statevar:sample.a,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.b,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.c,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.d,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.e,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.z,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.m,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.n,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.f,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.k,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.y,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.x,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.w,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.not_called,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.intitalized,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.Acc,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.Bcc,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasStateVar,statevar:sample.balances_re_ent8,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.withdraw_balances_re_ent8,"{""_layers"": [""stage1_ast""]}"
function:sample.withdraw_balances_re_ent8,hasModifier,modifier:sample.withdraw_balances_re_ent8.1,"{""_layers"": [""stage1_ast""]}"
function:sample.withdraw_balances_re_ent8,containsStmt,stmt:sample.withdraw_balances_re_ent8.1,"{""_layers"": [""stage1_ast""]}"
function:sample.withdraw_balances_re_ent8,entryPointIs,stmt:sample.withdraw_balances_re_ent8.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.withdraw_balances_re_ent8.1,containsCall,call:sample.withdraw_balances_re_ent8.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.withdraw_balances_re_ent8.1,containsCall,call:sample.withdraw_balances_re_ent8.1.2,"{""_layers"": [""stage1_ast""]}"
function:sample.withdraw_balances_re_ent8,containsStmt,stmt:sample.withdraw_balances_re_ent8.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.withdraw_balances_re_ent8.1,hasNext,stmt:sample.withdraw_balances_re_ent8.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.withdraw_balances_re_ent8.2,containsAssignment,assign:sample.withdraw_balances_re_ent8.2.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.slither_fn_2,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_fn_2,hasModifier,modifier:sample.slither_fn_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_fn_2,containsStmt,stmt:sample.slither_fn_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_fn_2,entryPointIs,stmt:sample.slither_fn_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_fn_2.1,containsAssignment,assign:sample.slither_fn_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_fn_2.1,containsCall,call:sample.slither_fn_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_fn_2.1,containsCall,call:sample.slither_fn_2.1.2,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.non_buggy_cif,"{""_layers"": [""stage1_ast""]}"
function:sample.non_buggy_cif,hasModifier,modifier:sample.non_buggy_cif.1,"{""_layers"": [""stage1_ast""]}"
function:sample.non_buggy_cif,containsStmt,stmt:sample.non_buggy_cif.1,"{""_layers"": [""stage1_ast""]}"
function:sample.non_buggy_cif,entryPointIs,stmt:sample.non_buggy_cif.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.non_buggy_cif.1,containsAssignment,assign:sample.non_buggy_cif.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.non_buggy_cif.1,containsCall,call:sample.non_buggy_cif.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.non_buggy_cif.1,containsCall,call:sample.non_buggy_cif.1.2,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.slither_2,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_2,hasModifier,modifier:sample.slither_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_2,containsStmt,stmt:sample.slither_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_2,entryPointIs,stmt:sample.slither_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_2.1,containsCall,call:sample.slither_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_2.1,containsCall,call:sample.slither_2.1.2,"{""_layers"": [""stage1_ast""]}"
function:sample.slither_2,containsStmt,stmt:sample.slither_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_2.1,hasNext,stmt:sample.slither_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slither_2.2,containsAssignment,assign:sample.slither_2.2.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.slithera_13,"{""_layers"": [""stage1_ast""]}"
function:sample.slithera_13,hasModifier,modifier:sample.slithera_13.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slithera_13,containsStmt,stmt:sample.slithera_13.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slithera_13,entryPointIs,stmt:sample.slithera_13.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.1,containsAssignment,assign:sample.slithera_13.1.1,"{""_layers"": [""stage1_ast""]}"
function:sample.slithera_13,containsStmt,stmt:sample.slithera_13.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.1,hasNext,stmt:sample.slithera_13.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.2,containsCall,call:sample.slithera_13.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.2,containsCall,call:sample.slithera_13.2.2,"{""_layers"": [""stage1_ast""]}"
function:sample.slithera_13,containsStmt,stmt:sample.slithera_13.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.2,hasNext,stmt:sample.slithera_13.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.slithera_13.3,containsAssignment,assign:sample.slithera_13.3.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Test,"{""_layers"": [""stage1_ast""]}"
function:sample.Test,hasModifier,modifier:sample.Test.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Test,containsStmt,stmt:sample.Test.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Test,entryPointIs,stmt:sample.Test.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Test,containsStmt,stmt:sample.Test.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Test.1,hasNext,stmt:sample.Test.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Test.2,containsCall,call:sample.Test.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Test.2,containsCall,call:sample.Test.2.2,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_DD_1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DD_1,hasModifier,modifier:sample.Collect_DD_1.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DD_1,containsStmt,stmt:sample.Collect_DD_1.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DD_1,entryPointIs,stmt:sample.Collect_DD_1.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DD_1,containsStmt,stmt:sample.Collect_DD_1.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DD_1.1,hasNext,stmt:sample.Collect_DD_1.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DD_1.2,containsCall,call:sample.Collect_DD_1.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DD_1.2,containsCall,call:sample.Collect_DD_1.2.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DD_1,containsStmt,stmt:sample.Collect_DD_1.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DD_1.2,hasNext,stmt:sample.Collect_DD_1.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DD_1.3,containsAssignment,assign:sample.Collect_DD_1.3.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_DDz,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,hasModifier,modifier:sample.Collect_DDz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,containsStmt,stmt:sample.Collect_DDz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,entryPointIs,stmt:sample.Collect_DDz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,containsStmt,stmt:sample.Collect_DDz.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.1,hasNext,stmt:sample.Collect_DDz.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.2,containsCall,call:sample.Collect_DDz.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.2,containsCall,call:sample.Collect_DDz.2.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,containsStmt,stmt:sample.Collect_DDz.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.2,hasNext,stmt:sample.Collect_DDz.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.3,containsCall,call:sample.Collect_DDz.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.3,containsCall,call:sample.Collect_DDz.3.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_DDz,containsStmt,stmt:sample.Collect_DDz.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.3,hasNext,stmt:sample.Collect_DDz.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.4,containsAssignment,assign:sample.Collect_DDz.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.4,containsCall,call:sample.Collect_DDz.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_DDz.4,containsCall,call:sample.Collect_DDz.4.2,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_local_var,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_local_var,hasModifier,modifier:sample.Collect_local_var.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_local_var,containsStmt,stmt:sample.Collect_local_var.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_local_var,entryPointIs,stmt:sample.Collect_local_var.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_local_var,containsStmt,stmt:sample.Collect_local_var.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_local_var.1,hasNext,stmt:sample.Collect_local_var.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_local_var.2,containsCall,call:sample.Collect_local_var.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_local_var.2,containsCall,call:sample.Collect_local_var.2.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_local_var,containsStmt,stmt:sample.Collect_local_var.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_local_var.2,hasNext,stmt:sample.Collect_local_var.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_local_var.3,containsAssignment,assign:sample.Collect_local_var.3.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_uoiu,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,hasModifier,modifier:sample.Collect_uoiu.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,containsStmt,stmt:sample.Collect_uoiu.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,entryPointIs,stmt:sample.Collect_uoiu.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,containsStmt,stmt:sample.Collect_uoiu.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.1,hasNext,stmt:sample.Collect_uoiu.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.2,containsAssignment,assign:sample.Collect_uoiu.2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,containsStmt,stmt:sample.Collect_uoiu.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.2,hasNext,stmt:sample.Collect_uoiu.3,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,containsStmt,stmt:sample.Collect_uoiu.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.3,hasNext,stmt:sample.Collect_uoiu.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.4,containsCall,call:sample.Collect_uoiu.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.4,containsCall,call:sample.Collect_uoiu.4.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiu,containsStmt,stmt:sample.Collect_uoiu.5,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.4,hasNext,stmt:sample.Collect_uoiu.5,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiu.5,containsAssignment,assign:sample.Collect_uoiu.5.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_uoiuz,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,hasModifier,modifier:sample.Collect_uoiuz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,containsStmt,stmt:sample.Collect_uoiuz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,entryPointIs,stmt:sample.Collect_uoiuz.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,containsStmt,stmt:sample.Collect_uoiuz.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.1,hasNext,stmt:sample.Collect_uoiuz.2,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.2,containsAssignment,assign:sample.Collect_uoiuz.2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,containsStmt,stmt:sample.Collect_uoiuz.3,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.2,hasNext,stmt:sample.Collect_uoiuz.3,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,containsStmt,stmt:sample.Collect_uoiuz.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.3,hasNext,stmt:sample.Collect_uoiuz.4,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.4,containsCall,call:sample.Collect_uoiuz.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.4,containsCall,call:sample.Collect_uoiuz.4.2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_uoiuz,containsStmt,stmt:sample.Collect_uoiuz.5,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.4,hasNext,stmt:sample.Collect_uoiuz.5,"{""_layers"": [""stage1_ast""]}"
stmt:sample.Collect_uoiuz.5,containsAssignment,assign:sample.Collect_uoiuz.5.1,"{""_layers"": [""stage1_ast""]}"
contract:sample,hasFunction,function:sample.Collect_2,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_2,hasModifier,modifier:sample.Collect_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_2,containsStmt,stmt:sample.Collect_2.1,"{""_layers"": [""stage1_ast""]}"
function:sample.Collect_2,entryPointIs,stmt:sample.Collect_2.1,"{""_layers"": [""stage1_ast""]}"
