node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:sample,Contract,sample,sample.sol,sample,,3,230,"{""_layers"": [""stage1_ast""], ""ast_id"": 892, ""src"": ""25:5489:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:sample.a,StateVar,a,sample.sol,sample,,4,4,"{""_layers"": [""stage1_ast""], ""ast_id"": 3, ""src"": ""48:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.b,StateVar,b,sample.sol,sample,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""65:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.c,StateVar,c,sample.sol,sample,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""82:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.d,StateVar,d,sample.sol,sample,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""99:17:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.e,StateVar,e,sample.sol,sample,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""120:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.z,StateVar,z,sample.sol,sample,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""137:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.m,StateVar,m,sample.sol,sample,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""154:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.n,StateVar,n,sample.sol,sample,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""171:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.f,StateVar,f,sample.sol,sample,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""189:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.k,StateVar,k,sample.sol,sample,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""206:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.y,StateVar,y,sample.sol,sample,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""224:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.x,StateVar,x,sample.sol,sample,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""241:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.w,StateVar,w,sample.sol,sample,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""258:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.not_called,StateVar,not_called,sample.sol,sample,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 30, ""src"": ""275:22:0"", ""type"": ""bool"", ""visibility"": ""public""}"
statevar:sample.intitalized,StateVar,intitalized,sample.sol,sample,,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""301:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
statevar:sample.Acc,StateVar,Acc,sample.sol,sample,,61,61,"{""_layers"": [""stage1_ast""], ""ast_id"": 177, ""src"": ""1191:38:0"", ""type"": ""mapping(address => struct SimpleDAO.Holder)"", ""visibility"": ""public""}"
statevar:sample.Bcc,StateVar,Bcc,sample.sol,sample,,62,62,"{""_layers"": [""stage1_ast""], ""ast_id"": 181, ""src"": ""1235:38:0"", ""type"": ""mapping(address => struct SimpleDAO.Holder)"", ""visibility"": ""public""}"
statevar:sample.MinSum,StateVar,MinSum,sample.sol,sample,,64,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 183, ""src"": ""1280:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:sample.balances_re_ent8,StateVar,balances_re_ent8,sample.sol,sample,,65,65,"{""_layers"": [""stage1_ast""], ""ast_id"": 187, ""src"": ""1304:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
function:sample.withdraw_balances_re_ent8,Function,withdraw_balances_re_ent8,sample.sol,sample,withdraw_balances_re_ent8,23,27,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 59, ""src"": ""325:202:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:sample.withdraw_balances_re_ent8.1,Modifier,modifier_1,sample.sol,sample,withdraw_balances_re_ent8,23,27,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:sample.withdraw_balances_re_ent8.1,Stmt,stmt_1,sample.sol,sample,withdraw_balances_re_ent8,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 48, ""src"": ""380:73:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
call:sample.withdraw_balances_re_ent8.1.1,FunctionCall,call,sample.sol,sample,withdraw_balances_re_ent8,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""397:56:0""}"
call:sample.withdraw_balances_re_ent8.1.2,FunctionCall,value,sample.sol,sample,withdraw_balances_re_ent8,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""397:52:0""}"
stmt:sample.withdraw_balances_re_ent8.2,Stmt,stmt_2,sample.sol,sample,withdraw_balances_re_ent8,25,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 57, ""src"": ""463:57:0"", ""stmt_kind"": ""IfStatement""}"
assign:sample.withdraw_balances_re_ent8.2.1,Assignment,assign_2_1,sample.sol,sample,withdraw_balances_re_ent8,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""488:32:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:sample.slither_fn_2,Function,slither_fn_2,sample.sol,sample,slither_fn_2,29,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 80, ""src"": ""533:110:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:sample.slither_fn_2.1,Modifier,modifier_1,sample.sol,sample,slither_fn_2,29,32,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:sample.slither_fn_2.1,Stmt,stmt_1,sample.sol,sample,slither_fn_2,30,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 78, ""src"": ""576:60:0"", ""stmt_kind"": ""IfStatement""}"
assign:sample.slither_fn_2.1.1,Assignment,assign_1_1,sample.sol,sample,slither_fn_2,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 76, ""src"": ""631:5:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:sample.slither_fn_2.1.1,FunctionCall,call,sample.sol,sample,slither_fn_2,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""579:26:0""}"
call:sample.slither_fn_2.1.2,FunctionCall,value,sample.sol,sample,slither_fn_2,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 67, ""src"": ""579:24:0""}"
function:sample.non_buggy_cif,Function,non_buggy_cif,sample.sol,sample,non_buggy_cif,34,37,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 107, ""src"": ""649:155:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:sample.non_buggy_cif.1,Modifier,modifier_1,sample.sol,sample,non_buggy_cif,34,37,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:sample.non_buggy_cif.1,Stmt,stmt_1,sample.sol,sample,non_buggy_cif,35,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""726:71:0"", ""stmt_kind"": ""IfStatement""}"
assign:sample.non_buggy_cif.1.1,Assignment,assign_1_1,sample.sol,sample,non_buggy_cif,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 103, ""src"": ""787:10:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:sample.non_buggy_cif.1.1,FunctionCall,call,sample.sol,sample,non_buggy_cif,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 93, ""src"": ""739:26:0""}"
call:sample.non_buggy_cif.1.2,FunctionCall,value,sample.sol,sample,non_buggy_cif,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 92, ""src"": ""739:24:0""}"
function:sample.slither_2,Function,slither_2,sample.sol,sample,slither_2,39,44,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 135, ""src"": ""810:130:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:sample.slither_2.1,Modifier,modifier_1,sample.sol,sample,slither_2,39,44,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:sample.slither_2.1,Stmt,stmt_1,sample.sol,sample,slither_2,40,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 125, ""src"": ""849:46:0"", ""stmt_kind"": ""IfStatement""}"
call:sample.slither_2.1.1,FunctionCall,call,sample.sol,sample,slither_2,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 123, ""src"": ""869:26:0""}"
call:sample.slither_2.1.2,FunctionCall,value,sample.sol,sample,slither_2,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 122, ""src"": ""869:24:0""}"
stmt:sample.slither_2.2,Stmt,stmt_2,sample.sol,sample,slither_2,42,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 133, ""src"": ""906:27:0"", ""stmt_kind"": ""IfStatement""}"
assign:sample.slither_2.2.1,Assignment,assign_2_1,sample.sol,sample,slither_2,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 131, ""src"": ""927:6:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:sample.slithera_13,Function,slithera_13,sample.sol,sample,slithera_13,47,53,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 168, ""src"": ""947:157:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:sample.slithera_13.1,Modifier,modifier_1,sample.sol,sample,slithera_13,47,53,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:sample.slithera_13.1,Stmt,stmt_1,sample.sol,sample,slithera_13,48,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 143, ""src"": ""988:10:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:sample.slithera_13.1.1,Assignment,assign_1_1,sample.sol,sample,slithera_13,48,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 142, ""src"": ""988:10:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:sample.slithera_13.2,Stmt,stmt_2,sample.sol,sample,slithera_13,49,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 158, ""src"": ""1008:49:0"", ""stmt_kind"": ""IfStatement""}"
call:sample.slithera_13.2.1,FunctionCall,call,sample.sol,sample,slithera_13,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 156, ""src"": ""1031:26:0""}"
