src,relation,dst,extra_json
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.a,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.b,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.c,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.d,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.e,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.z,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.m,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.n,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.y,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.x,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasStateVar,statevar:swc-107-call-parameters.w,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasFunction,function:swc-107-call-parameters.non_reentrant,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.non_reentrant,hasModifier,modifier:swc-107-call-parameters.non_reentrant.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.non_reentrant,containsStmt,stmt:swc-107-call-parameters.non_reentrant.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.non_reentrant,entryPointIs,stmt:swc-107-call-parameters.non_reentrant.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,containsAssignment,assign:swc-107-call-parameters.non_reentrant.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,containsRequire,require:swc-107-call-parameters.non_reentrant.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,containsCall,call:swc-107-call-parameters.non_reentrant.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,containsCall,call:swc-107-call-parameters.non_reentrant.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,containsCall,call:swc-107-call-parameters.non_reentrant.1.3,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.non_reentrant,containsStmt,stmt:swc-107-call-parameters.non_reentrant.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.1,hasNext,stmt:swc-107-call-parameters.non_reentrant.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.non_reentrant.2,containsAssignment,assign:swc-107-call-parameters.non_reentrant.2.1,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasFunction,function:swc-107-call-parameters.withdraw_call,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,hasModifier,modifier:swc-107-call-parameters.withdraw_call.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,containsStmt,stmt:swc-107-call-parameters.withdraw_call.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,entryPointIs,stmt:swc-107-call-parameters.withdraw_call.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.1,containsAssignment,assign:swc-107-call-parameters.withdraw_call.1.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,containsStmt,stmt:swc-107-call-parameters.withdraw_call.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.1,hasNext,stmt:swc-107-call-parameters.withdraw_call.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.2,containsRequire,require:swc-107-call-parameters.withdraw_call.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.2,containsCall,call:swc-107-call-parameters.withdraw_call.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.2,containsCall,call:swc-107-call-parameters.withdraw_call.2.2,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,containsStmt,stmt:swc-107-call-parameters.withdraw_call.3,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.2,hasNext,stmt:swc-107-call-parameters.withdraw_call.3,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.3,containsAssignment,assign:swc-107-call-parameters.withdraw_call.3.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,containsStmt,stmt:swc-107-call-parameters.withdraw_call.4,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.3,hasNext,stmt:swc-107-call-parameters.withdraw_call.4,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.4,containsAssignment,assign:swc-107-call-parameters.withdraw_call.4.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call,containsStmt,stmt:swc-107-call-parameters.withdraw_call.5,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.4,hasNext,stmt:swc-107-call-parameters.withdraw_call.5,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call.5,containsAssignment,assign:swc-107-call-parameters.withdraw_call.5.1,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasFunction,function:swc-107-call-parameters.withdraw_call_2,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_2,hasModifier,modifier:swc-107-call-parameters.withdraw_call_2.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_2,containsStmt,stmt:swc-107-call-parameters.withdraw_call_2.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_2,entryPointIs,stmt:swc-107-call-parameters.withdraw_call_2.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call_2.1,containsRequire,require:swc-107-call-parameters.withdraw_call_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call_2.1,containsCall,call:swc-107-call-parameters.withdraw_call_2.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call_2.1,containsCall,call:swc-107-call-parameters.withdraw_call_2.1.2,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_2,containsStmt,stmt:swc-107-call-parameters.withdraw_call_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call_2.1,hasNext,stmt:swc-107-call-parameters.withdraw_call_2.2,"{""_layers"": [""stage1_ast""]}"
stmt:swc-107-call-parameters.withdraw_call_2.2,containsAssignment,assign:swc-107-call-parameters.withdraw_call_2.2.1,"{""_layers"": [""stage1_ast""]}"
contract:swc-107-call-parameters,hasFunction,function:swc-107-call-parameters.withdraw_call_3,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_3,hasModifier,modifier:swc-107-call-parameters.withdraw_call_3.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_3,containsStmt,stmt:swc-107-call-parameters.withdraw_call_3.1,"{""_layers"": [""stage1_ast""]}"
function:swc-107-call-parameters.withdraw_call_3,entryPointIs,stmt:swc-107-call-parameters.withdraw_call_3.1,"{""_layers"": [""stage1_ast""]}"
