node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:swc-107-call-parameters,Contract,swc-107-call-parameters,swc-107-call-parameters.sol,swc-107-call-parameters,,3,291,"{""_layers"": [""stage1_ast""], ""ast_id"": 953, ""src"": ""25:5231:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""SimpleDAO""}"
statevar:swc-107-call-parameters.a,StateVar,a,swc-107-call-parameters.sol,swc-107-call-parameters,,4,4,"{""_layers"": [""stage1_ast""], ""ast_id"": 3, ""src"": ""48:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.b,StateVar,b,swc-107-call-parameters.sol,swc-107-call-parameters,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""65:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.c,StateVar,c,swc-107-call-parameters.sol,swc-107-call-parameters,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""82:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.d,StateVar,d,swc-107-call-parameters.sol,swc-107-call-parameters,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""99:15:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.e,StateVar,e,swc-107-call-parameters.sol,swc-107-call-parameters,,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""118:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.z,StateVar,z,swc-107-call-parameters.sol,swc-107-call-parameters,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""135:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.m,StateVar,m,swc-107-call-parameters.sol,swc-107-call-parameters,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""152:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.n,StateVar,n,swc-107-call-parameters.sol,swc-107-call-parameters,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""169:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.y,StateVar,y,swc-107-call-parameters.sol,swc-107-call-parameters,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""187:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.x,StateVar,x,swc-107-call-parameters.sol,swc-107-call-parameters,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""204:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:swc-107-call-parameters.w,StateVar,w,swc-107-call-parameters.sol,swc-107-call-parameters,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""221:13:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:swc-107-call-parameters.non_reentrant,Function,non_reentrant,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,17,25,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 55, ""src"": ""239:165:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""SimpleDAO""}"
modifier:swc-107-call-parameters.non_reentrant.1,Modifier,modifier_1,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,17,25,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:swc-107-call-parameters.non_reentrant.1,Stmt,stmt_1,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,18,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""292:97:0"", ""stmt_kind"": ""IfStatement""}"
assign:swc-107-call-parameters.non_reentrant.1.1,Assignment,assign_1_1,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""308:3:0"", ""operator"": ""="", ""type"": ""uint256""}"
require:swc-107-call-parameters.non_reentrant.1.1,Require,require,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""319:35:0""}"
call:swc-107-call-parameters.non_reentrant.1.1,FunctionCall,call,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""327:26:0""}"
call:swc-107-call-parameters.non_reentrant.1.2,FunctionCall,value,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 40, ""src"": ""327:24:0""}"
call:swc-107-call-parameters.non_reentrant.1.3,FunctionCall,revert,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""374:8:0""}"
stmt:swc-107-call-parameters.non_reentrant.2,Stmt,stmt_2,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 53, ""src"": ""394:5:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:swc-107-call-parameters.non_reentrant.2.1,Assignment,assign_2_1,swc-107-call-parameters.sol,swc-107-call-parameters,non_reentrant,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""394:5:0"", ""operator"": ""="", ""type"": ""uint256""}"
